K,epssqr,L,Theta0,Theta1,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1,30,-0.169243,1.2152,11.9792,1,13, 0.356925, 0.00757647, 0.0339375, 0.00432181, 0.283927, 1, 2, 0.0011575222015380859, 0.00024342536926269531, 5.7935714721679688e-05, 9.5129013061523438e-05, 9.4175338745117188e-05, 2.6226043701171875e-06, 7.9393386840820312e-05, 0.00058484077453613281, -0.16924326289244446, -0.16924326289244446, 0, 25, 50, 0.0335743, 0.00768733, 0.00374699, 0.00264955, 0.00419021, 0.00014472, 0.00439477, 0.0107608, 
1,40,-0.169243,1.2152,11.9792,1,14, 0.397186, 0.00778937, 0.0376041, 0.00464725, 0.318806, 1, 2, 0.0013675689697265625, 0.00032448768615722656, 8.0585479736328125e-05, 0.00013470649719238281, 9.8943710327148438e-05, 3.0994415283203125e-06, 0.00012493133544921875, 0.0006008148193359375, -0.16924326289244446, -0.16924326289244446, 0, 27, 54, 0.0372071, 0.00838113, 0.00414395, 0.00290418, 0.00460792, 0.000157356, 0.00497675, 0.0120358, 
1,50,-0.169243,1.2152,11.9792,1,15, 0.423074, 0.00797009, 0.0395968, 0.00492215, 0.341244, 1, 2, 0.0010769367218017578, 0.00036549568176269531, 6.7234039306640625e-05, 7.6055526733398438e-05, 5.1975250244140625e-05, 3.5762786865234375e-06, 8.0347061157226562e-05, 0.00043225288391113281, -0.16924326289244446, -0.16924326289244446, 0, 29, 58, 0.0391684, 0.00904489, 0.00442076, 0.00304389, 0.00486779, 0.000171185, 0.00525427, 0.0123656, 
1,60,-0.169243,1.2152,11.9792,1,16, 0.448539, 0.00819254, 0.0419941, 0.00525713, 0.362868, 1, 2, 0.0010824203491210938, 0.00024151802062988281, 8.106231689453125e-05, 0.00012683868408203125, 7.7962875366210938e-05, 2.6226043701171875e-06, 7.0333480834960938e-05, 0.00048208236694335938, -0.16924326289244446, -0.16924326289244446, 0, 31, 62, 0.0415297, 0.0096395, 0.00477839, 0.00329232, 0.00516796, 0.000181913, 0.00557017, 0.0128994, 
1,70,-0.169243,1.2152,11.9792,1,17, 0.483857, 0.0083487, 0.0438621, 0.00552678, 0.395073, 1, 2, 0.00089192390441894531, 0.00027322769165039062, 5.626678466796875e-05, 7.915496826171875e-05, 4.00543212890625e-05, 2.1457672119140625e-06, 5.3882598876953125e-05, 0.0003871917724609375, -0.16924326289244446, -0.16924326289244446, 0, 33, 66, 0.0433683, 0.0103166, 0.00504637, 0.00343847, 0.00540924, 0.000193834, 0.00581837, 0.0131454, 
1,80,-0.169243,1.2152,11.9792,1,18, 0.507563, 0.00859118, 0.0456309, 0.00584507, 0.415554, 1, 2, 0.0008411407470703125, 0.00024151802062988281, 5.435943603515625e-05, 6.3419342041015625e-05, 4.5537948608398438e-05, 2.384185791015625e-06, 5.53131103515625e-05, 0.00037860870361328125, -0.16924326289244446, -0.16924326289244446, 0, 35, 70, 0.045105, 0.0108593, 0.00533128, 0.0035677, 0.00564051, 0.000205517, 0.00607204, 0.0134287, 
1,90,-0.169243,1.2152,11.9792,1,19, 0.532938, 0.00876594, 0.0475841, 0.00617504, 0.437467, 1, 2, 0.0011005401611328125, 0.00027346611022949219, 5.6982040405273438e-05, 6.7234039306640625e-05, 5.1021575927734375e-05, 2.1457672119140625e-06, 5.7220458984375e-05, 0.00059247016906738281, -0.16924326289244446, -0.16924326289244446, 0, 37, 74, 0.0470412, 0.0114341, 0.00563407, 0.00369787, 0.00588894, 0.000216484, 0.00633907, 0.0138307, 
1,100,-0.169243,1.2152,11.9792,1,20, 0.556732, 0.00889945, 0.0493798, 0.00647211, 0.458038, 1, 2, 0.00097823143005371094, 0.00024151802062988281, 5.435943603515625e-05, 0.00010895729064941406, 8.4638595581054688e-05, 2.1457672119140625e-06, 6.1273574829101562e-05, 0.0004253387451171875, -0.16924326289244446, -0.16924326289244446, 0, 39, 78, 0.0488122, 0.0119662, 0.00587583, 0.00387526, 0.00616336, 0.000230074, 0.0065918, 0.0141096, 
1,200,-0.169243,1.2152,11.9792,1,21, 0.596266, 0.00905895, 0.0670488, 0.00673842, 0.477775, 1, 2, 0.00084257125854492188, 0.00024127960205078125, 5.4121017456054688e-05, 6.2227249145507812e-05, 4.2200088500976562e-05, 2.1457672119140625e-06, 5.435943603515625e-05, 0.00038623809814453125, -0.16924326289244446, -0.16924326289244446, 0, 41, 82, 0.0664523, 0.0125556, 0.00623107, 0.00404167, 0.00640011, 0.000242472, 0.00684619, 0.0301352, 
1,300,-0.169243,1.2152,11.9792,1,22, 0.618643, 0.00919652, 0.0688484, 0.00701118, 0.497085, 1, 2, 0.0010089874267578125, 0.00024247169494628906, 0.00016498565673828125, 6.961822509765625e-05, 4.8398971557617188e-05, 2.384185791015625e-06, 6.1750411987304688e-05, 0.00041937828063964844, -0.16924326289244446, -0.16924326289244446, 0, 43, 86, 0.0682256, 0.0130925, 0.0065949, 0.00417304, 0.00664115, 0.000253201, 0.00709629, 0.0303745, 
