K,epssqr,L,Theta0,Theta1,Theta2,Theta3,Gamma nbins,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
2,20,-0.339326,5.98736,62.9271,0.865323,8.23646,1853,91, 36.8792, 0.012665, 34.3664, 0.0355353, 2.42877, 1, 2, 0.00096654891967773438, 0.00026679039001464844, 7.915496826171875e-05, 6.771087646484375e-05, 4.7922134399414062e-05, 2.1457672119140625e-06, 6.29425048828125e-05, 0.00043988227844238281, -0.33932577162311162, -0.3471143132675108, 0.0077885416443992089, 30733, 30835, 34.3649, 9.75954, 2.85358, 4.98604, 10.8667, 0.259543, 3.6953, 1.94418, 
2,30,-0.336509,6.00519,63.2531,0.875365,8.33463,1853,101, 46.2359, 0.0131044, 43.4542, 0.0381756, 2.68143, 1, 2, 0.00087523460388183594, 0.00026917457580566406, 7.9870223999023438e-05, 6.1273574829101562e-05, 4.100799560546875e-05, 2.1457672119140625e-06, 5.8650970458984375e-05, 0.00036311149597167969, -0.3365093304140957, -0.34267701430771702, 0.0061676838936212596, 38420, 38533, 43.4525, 12.3149, 3.56899, 6.34289, 13.793, 0.348867, 4.74567, 2.3383, 
2,40,-0.334845,6.01604,63.4297,0.880595,8.38668,1856,109, 53.8987, 0.0135021, 50.8747, 0.0403709, 2.91935, 44, 45, 0.038074731826782227, 0.00026988983154296875, 7.9393386840820312e-05, 6.389617919921875e-05, 4.4584274291992188e-05, 2.384185791015625e-06, 6.0796737670898438e-05, 0.037553787231445312, -0.33484527396590436, -0.34031609877799052, 0.0054708248120864458, 44859, 44981, 50.8729, 14.3235, 4.18677, 7.42061, 16.1777, 0.408089, 5.63691, 2.71936, 
2,50,-0.333664,6.02747,63.5603,0.883754,8.42015,1856,120, 65.2732, 0.0141456, 61.9443, 0.0432527, 3.21842, 1, 2, 0.0083854198455810547, 0.00027108192443847656, 8.0823898315429688e-05, 6.771087646484375e-05, 4.482269287109375e-05, 2.1457672119140625e-06, 6.29425048828125e-05, 0.0078558921813964844, -0.33366383398721322, -0.33884029267356153, 0.0051764586863481971, 54227, 54361, 61.9423, 17.2944, 5.11958, 9.03058, 20.0035, 0.474751, 6.79462, 3.22489, 
2,60,-0.332733,6.03164,63.6122,0.88578,8.44149,1858,131, 76.5849, 0.0147352, 72.9668, 0.0462575, 3.5016, 94, 95, 0.10072636604309082, 0.00027036666870117188, 7.9870223999023438e-05, 6.67572021484375e-05, 5.5074691772460938e-05, 2.384185791015625e-06, 0.000385284423828125, 0.099866628646850586, -0.33273272146171345, -0.33781481266774732, 0.0050820912060340132, 64136, 64282, 72.9647, 20.2815, 6.05652, 10.8071, 23.5889, 0.532906, 7.99124, 3.70657, 
2,70,-0.331952,6.03882,63.6851,0.887433,8.45957,1867,143, 89.3754, 0.0154116, 85.4359, 0.0494657, 3.80649, 50, 51, 0.050780057907104492, 0.00027060508728027344, 8.296966552734375e-05, 0.00012087821960449219, 5.0306320190429688e-05, 2.1457672119140625e-06, 6.6280364990234375e-05, 0.050186872482299805, -0.33195151675873025, -0.33702724835088765, 0.0050757315921574359, 74816, 74975, 85.4336, 23.523, 7.00495, 12.6029, 28.1063, 0.64046, 9.27637, 4.27966, 
2,80,-0.331276,6.04474,63.7422,0.888829,8.47505,1869,156, 103.37, 0.0160646, 99.0925, 0.0529046, 4.13722, 1, 2, 0.0012390613555908203, 0.00030064582824707031, 8.4161758422851562e-05, 0.00023484230041503906, 5.4597854614257812e-05, 1.9073486328125e-06, 6.6041946411132812e-05, 0.00049686431884765625, -0.33127620917462719, -0.33634026683445034, 0.0050640576598231625, 86158, 86331, 99.09, 27.1631, 8.05759, 14.7828, 32.8286, 0.740845, 10.6075, 4.90959, 
2,90,-0.330682,6.05045,63.7898,0.889975,8.48832,1871,170, 118.502, 0.01669, 113.821, 0.0564578, 4.51761, 1, 2, 0.0010218620300292969, 0.00025582313537597656, 7.7486038208007812e-05, 6.6518783569335938e-05, 4.8160552978515625e-05, 1.9073486328125e-06, 6.2227249145507812e-05, 0.00050973892211914062, -0.33068227433475528, -0.3357415793536801, 0.0050593050189247993, 98633, 98821, 113.818, 31.0984, 9.3082, 16.9464, 37.8511, 0.874547, 12.1944, 5.54497, 
2,100,-0.330149,6.05611,63.8353,0.890927,8.4996,1875,183, 132.052, 0.0174942, 126.992, 0.0598986, 4.88125, 1, 2, 0.0010404586791992188, 0.000270843505859375, 8.106231689453125e-05, 6.4373016357421875e-05, 4.5299530029296875e-05, 2.1457672119140625e-06, 6.198883056640625e-05, 0.00051474571228027344, -0.33014940348131838, -0.33524145703101738, 0.0050920535496988811, 110094, 110296, 126.989, 34.9103, 10.4148, 19.022, 41.8706, 0.964877, 13.5839, 6.22292, 
2,200,-0.326332,6.09102,64.07,0.895787,8.56109,1894,205, 157.799, 0.0185668, 152.204, 0.0655572, 5.40664, 44, 45, 0.041470527648925781, 0.00027155876159667969, 8.106231689453125e-05, 6.7234039306640625e-05, 4.4345855712890625e-05, 2.384185791015625e-06, 6.0558319091796875e-05, 0.040943384170532227, -0.32633186556140747, -0.33248398499592668, 0.0061521194345193026, 131256, 131481, 152.2, 41.8951, 12.5206, 22.9413, 50.2144, 1.10283, 16.1887, 7.33729, 
2,300,-0.295639,2.37087,25.8533,0.714288,5.91765,1764,223, 179.028, 0.0195792, 172.985, 0.0702102, 5.84543, 325, 326, 0.39122986793518066, 0.0002536773681640625, 7.82012939453125e-05, 7.1287155151367188e-05, 4.76837158203125e-05, 5.7220458984375e-06, 6.29425048828125e-05, 0.39071035385131836, -0.29563899742750638, -0.29976515468021736, 0.004126157252710573, 149472, 149716, 172.981, 47.556, 14.2115, 26.4055, 56.8009, 1.24935, 18.4449, 8.31342, 
2,400,-0.294416,2.35807,25.7162,0.71438,5.91126,1767,239, 198.384, 0.0202734, 191.952, 0.0743325, 6.22694, 874, 875, 0.97038412094116211, 0.00033211708068847656, 8.1539154052734375e-05, 7.343292236328125e-05, 4.6253204345703125e-05, 2.384185791015625e-06, 5.9843063354492188e-05, 0.96978855133056641, -0.29441577117072643, -0.2989455902577246, 0.0045298190869979566, 166346, 166607, 191.949, 52.7599, 15.8298, 29.4573, 62.7765, 1.36048, 20.3329, 9.4316, 
2,500,-0.293371,2.34843,25.6136,0.714499,5.90662,1774,253, 215.763, 0.0209618, 208.976, 0.0779197, 6.56479, 702, 703, 0.68436813354492188, 0.00026679039001464844, 7.9631805419921875e-05, 6.4611434936523438e-05, 5.054473876953125e-05, 2.384185791015625e-06, 6.0558319091796875e-05, 0.68384361267089844, -0.29337135174762846, -0.29834333428216442, 0.0049719825345360801, 181048, 181324, 208.971, 57.3936, 17.1934, 32.0944, 68.419, 1.47007, 22.1227, 10.2784, 
2,600,-0.292436,2.34115,25.536,0.714705,5.90453,1780,275, 241.276, 0.0220485, 233.953, 0.0946474, 7.07894, 477, 478, 0.58653068542480469, 0.00026774406433105469, 7.9870223999023438e-05, 6.2704086303710938e-05, 4.4584274291992188e-05, 2.86102294921875e-06, 6.1750411987304688e-05, 0.58601117134094238, -0.29243637082839907, -0.29785115822764852, 0.0054147873992498076, 203525, 203824, 233.949, 64.1877, 19.1985, 36.1218, 76.7069, 1.63578, 24.7513, 11.3471, 
2,700,-0.291575,2.33651,25.4832,0.715008,5.9069,1787,301, 270.31, 0.0232732, 262.433, 0.101909, 7.62167, 87, 88, 0.10668182373046875, 0.00025320053100585938, 7.724761962890625e-05, 6.771087646484375e-05, 6.771087646484375e-05, 2.1457672119140625e-06, 6.103515625e-05, 0.10615277290344238, -0.29157548221352242, -0.29741968010709169, 0.0058441978935696868, 229040, 229366, 262.428, 72.1155, 21.5606, 40.7798, 85.7107, 1.85368, 27.7791, 12.629, 
2,800,-0.169245,1.22068,12.0201,1.20976,11.9385,3000,303, 270.697, 0.0234225, 262.761, 0.102614, 7.6778, 6, 7, 0.017561674118041992, 0.00024938583374023438, 7.62939453125e-05, 6.3180923461914062e-05, 0.00022244453430175781, 2.384185791015625e-06, 7.2717666625976562e-05, 0.016875267028808594, -0.16924467227199164, -0.16924624298702357, 1.5707150319250515e-06, 229317, 229646, 262.757, 72.2027, 21.5954, 40.8082, 85.8122, 1.85524, 27.8228, 12.66, 
2,900,-0.169243,1.21521,11.9793,1.21519,11.9791,2999,304, 270.784, 0.0235603, 262.805, 0.103228, 7.71918, 5, 6, 0.014448881149291992, 0.00026297569274902344, 8.0347061157226562e-05, 6.9379806518554688e-05, 4.9829483032226562e-05, 2.1457672119140625e-06, 6.3180923461914062e-05, 0.013921022415161133, -0.16924325605023044, -0.16924326290827707, 6.8580467077072596e-09, 229337, 229668, 262.8, 72.2086, 21.5977, 40.8162, 85.837, 1.85535, 27.8245, 12.661, 
2,1000,-0.169243,1.2152,11.9792,1.2152,11.9792,2958,305, 270.833, 0.0237157, 262.811, 0.103696, 7.75938, 3, 4, 0.0024688243865966797, 0.00026464462280273438, 7.724761962890625e-05, 6.7234039306640625e-05, 4.8875808715820312e-05, 2.1457672119140625e-06, 6.198883056640625e-05, 0.0019466876983642578, -0.16924326277021398, -0.16924326289244412, 1.2223031878568695e-10, 229343, 229676, 262.806, 72.2106, 21.5987, 40.8166, 85.8379, 1.85538, 27.8252, 12.6616, 
2,2000,-0.169243,1.2152,11.9792,1.2152,11.9792,2072,306, 270.892, 0.0238931, 262.815, 0.104181, 7.81291, 1, 2, 0.0011923313140869141, 0.00030469894409179688, 8.6069107055664062e-05, 7.3671340942382812e-05, 5.5551528930664062e-05, 2.384185791015625e-06, 7.0810317993164062e-05, 0.00059914588928222656, -0.1692432628872822, -0.16924326289244462, 5.1634322502979018e-12, 229347, 229682, 262.81, 72.2122, 21.5992, 40.8169, 85.8384, 1.8554, 27.8256, 12.662, 
2,3000,-0.169243,1.2152,11.9792,1.2152,11.9792,275,307, 270.953, 0.0240788, 262.831, 0.104679, 7.85551, 1, 2, 0.0012078285217285156, 0.00038218498229980469, 6.5088272094726562e-05, 7.6532363891601562e-05, 7.2479248046875e-05, 2.384185791015625e-06, 6.4849853515625e-05, 0.00054430961608886719, -0.16924326289238273, -0.16924326289244457, 6.1408319603598569e-14, 229350, 229687, 262.826, 72.2136, 21.5996, 40.8171, 85.8389, 1.85542, 27.826, 12.6752, 
2,4000,-0.169243,1.2152,11.9792,1.2152,11.9792,258,308, 271.013, 0.0242743, 262.833, 0.105289, 7.91029, 1, 2, 0.0012187957763671875, 0.00028514862060546875, 8.20159912109375e-05, 0.000156402587890625, 7.43865966796875e-05, 2.384185791015625e-06, 7.3194503784179688e-05, 0.00054526329040527344, -0.16924326289227837, -0.16924326289244468, 1.6838565127108394e-13, 229352, 229691, 262.828, 72.2145, 21.6, 40.8174, 85.8392, 1.85543, 27.8263, 12.6755, 
2,5000,-0.169243,1.2152,11.9792,1.2152,11.9792,221,309, 271.06, 0.0244906, 262.836, 0.105888, 7.95176, 1, 2, 0.0015022754669189453, 0.00040268898010253906, 9.9897384643554688e-05, 0.00012302398681640625, 7.9631805419921875e-05, 3.337860107421875e-06, 9.918212890625e-05, 0.00069451332092285156, -0.16924326289241881, -0.16924326289244457, 2.1911215910234382e-14, 229354, 229695, 262.831, 72.2157, 21.6005, 40.8176, 85.8396, 1.85545, 27.8268, 12.6758, 
2,6000,-0.169243,1.2152,11.9792,1.2152,11.9792,330,310, 271.12, 0.0246365, 262.839, 0.10638, 8.0074, 1, 2, 0.0011548995971679688, 0.0002803802490234375, 0.00019145011901855469, 7.534027099609375e-05, 4.9352645874023438e-05, 2.1457672119140625e-06, 6.3657760620117188e-05, 0.00049257278442382812, -0.16924326289244057, -0.16924326289244462, 1.7743400183679158e-15, 229356, 229699, 262.834, 72.2166, 21.601, 40.8177, 85.8398, 1.85546, 27.8272, 12.6761, 
2,7000,-0.169243,1.2152,11.9792,1.2152,11.9792,322,311, 271.194, 0.0248179, 262.841, 0.106978, 8.06263, 1, 2, 0.0014698505401611328, 0.00042390823364257812, 0.00021600723266601562, 8.6307525634765625e-05, 6.29425048828125e-05, 2.86102294921875e-06, 8.0585479736328125e-05, 0.00059723854064941406, -0.16924326289244657, -0.16924326289244451, 8.3208047011842441e-16, 229358, 229703, 262.836, 72.2177, 21.6015, 40.8178, 85.8401, 1.85546, 27.8275, 12.6764, 
2,8000,-0.169243,1.2152,11.9792,1.2152,11.9792,287,312, 271.241, 0.0250778, 262.844, 0.107471, 8.10475, 1, 2, 0.0010213851928710938, 0.00027489662170410156, 8.1300735473632812e-05, 6.29425048828125e-05, 4.7922134399414062e-05, 2.1457672119140625e-06, 6.3180923461914062e-05, 0.00048899650573730469, -0.16924326289244113, -0.16924326289244462, 3.1744434770512148e-15, 229360, 229707, 262.839, 72.2186, 21.6019, 40.818, 85.8404, 1.85547, 27.8278, 12.6766, 
2,9000,-0.169243,1.2152,11.9792,1.2152,11.9792,124,313, 271.3, 0.0252776, 262.847, 0.108036, 8.15827, 1, 2, 0.0017402172088623047, 0.00034880638122558594, 0.00011944770812988281, 0.00015735626220703125, 9.5129013061523438e-05, 2.6226043701171875e-06, 0.00010752677917480469, 0.00090932846069335938, -0.16924326289244584, -0.16924326289244446, -2.2256218609024661e-16, 229362, 229711, 262.842, 72.2196, 21.6023, 40.8182, 85.8407, 1.85548, 27.8283, 12.677, 
2,10000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,314, 271.366, 0.0254414, 262.868, 0.108662, 8.20084, 1, 2, 0.0015184879302978516, 0.00041651725769042969, 0.00010895729064941406, 0.00014257431030273438, 0.00012755393981933594, 3.0994415283203125e-06, 9.3221664428710938e-05, 0.00062656402587890625, -0.16924326289243857, -0.16924326289244457, 8.6093478157907468e-15, 229364, 229715, 262.863, 72.2208, 21.6027, 40.8184, 85.8412, 1.8555, 27.8466, 12.6773, 
2,20000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,315, 271.445, 0.0256352, 262.879, 0.109294, 8.2564, 1, 2, 0.0095069408416748047, 0.00025677680969238281, 8.106231689453125e-05, 6.866455078125e-05, 4.8398971557617188e-05, 2.1457672119140625e-06, 6.3180923461914062e-05, 0.0089867115020751953, -0.16924326289246008, -0.16924326289244468, -1.2931148936398288e-15, 229366, 229719, 262.873, 72.2217, 21.6032, 40.8185, 85.8415, 1.85551, 27.8469, 12.6861, 
2,30000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,316, 271.503, 0.0258203, 262.881, 0.11005, 8.30926, 1, 2, 0.0011734962463378906, 0.00027322769165039062, 7.0810317993164062e-05, 9.5129013061523438e-05, 5.6505203247070312e-05, 2.384185791015625e-06, 7.0095062255859375e-05, 0.00060534477233886719, -0.16924326289244612, -0.16924326289244454, 1.943731368610574e-15, 229368, 229723, 262.876, 72.2227, 21.6035, 40.8187, 85.8418, 1.85552, 27.8473, 12.6864, 
2,40000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,317, 271.585, 0.0260642, 262.914, 0.110754, 8.35652, 1, 2, 0.012521505355834961, 0.00036883354187011719, 8.0347061157226562e-05, 7.0333480834960938e-05, 4.6968460083007812e-05, 2.1457672119140625e-06, 6.2227249145507812e-05, 0.011890649795532227, -0.16924326289246111, -0.16924326289244435, -1.4062620002546671e-14, 229370, 229727, 262.909, 72.2239, 21.6041, 40.8188, 85.8421, 1.85553, 27.8476, 12.7168, 
2,50000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,318, 271.642, 0.0262232, 262.928, 0.111238, 8.39736, 1, 2, 0.01233673095703125, 0.00043082237243652344, 0.00038623809814453125, 0.00029253959655761719, 4.9591064453125e-05, 2.6226043701171875e-06, 8.2254409790039062e-05, 0.011092662811279297, -0.16924326289242195, -0.16924326289244468, 3.238174292008168e-15, 229372, 229731, 262.923, 72.2249, 21.6048, 40.8192, 85.8427, 1.85554, 27.8481, 12.7275, 
2,60000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,319, 271.71, 0.026365, 262.942, 0.111724, 8.44986, 1, 2, 0.0010006427764892578, 0.00027966499328613281, 8.1300735473632812e-05, 6.5088272094726562e-05, 8.3446502685546875e-06, 2.1457672119140625e-06, 5.7220458984375e-05, 0.00050687789916992188, -0.16924326289243341, -0.16924326289244451, 1.1102230990063691e-14, 229374, 229735, 262.937, 72.2259, 21.6053, 40.8307, 85.843, 1.85555, 27.8484, 12.7277, 
2,70000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,320, 271.765, 0.0265381, 262.953, 0.112419, 8.49049, 1, 2, 0.00136566162109375, 0.00028538703918457031, 0.00027251243591308594, 0.00011181831359863281, 7.0810317993164062e-05, 2.86102294921875e-06, 9.3698501586914062e-05, 0.00052857398986816406, -0.16924326289242569, -0.16924326289244451, -1.8781253669800077e-14, 229376, 229739, 262.948, 72.2268, 21.606, 40.8309, 85.8433, 1.85557, 27.8487, 12.7366, 
2,80000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,321, 271.841, 0.0266643, 262.96, 0.112898, 8.53143, 1, 2, 0.0059366226196289062, 0.00028204917907714844, 8.0108642578125e-05, 6.9379806518554688e-05, 4.6968460083007812e-05, 2.1457672119140625e-06, 6.1511993408203125e-05, 0.0053944587707519531, -0.16924326289243938, -0.16924326289244457, 3.4046841187806474e-14, 229378, 229743, 262.955, 72.2278, 21.6063, 40.831, 85.8435, 1.85558, 27.849, 12.7418, 
2,90000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,322, 271.9, 0.0268776, 262.963, 0.113399, 8.58503, 1, 2, 0.0011582374572753906, 0.00027418136596679688, 8.9168548583984375e-05, 7.62939453125e-05, 5.2928924560546875e-05, 2.1457672119140625e-06, 7.0095062255859375e-05, 0.00059342384338378906, -0.16924326289244529, -0.16924326289244446, -8.3266656432410083e-16, 229380, 229747, 262.957, 72.2287, 21.6068, 40.8312, 85.8438, 1.85559, 27.8493, 12.7421, 
2,100000,-0.169243,1.2152,11.9792,1.2152,11.9792,1,323, 271.963, 0.0270791, 262.982, 0.114016, 8.62676, 1, 2, 0.0011837482452392578, 0.00028300285339355469, 8.7022781372070312e-05, 7.4148178100585938e-05, 5.054473876953125e-05, 4.76837158203125e-06, 7.62939453125e-05, 0.00060796737670898438, -0.16924326289245473, -0.16924326289244457, -1.0177043870882039e-14, 229382, 229751, 262.976, 72.2297, 21.6072, 40.8418, 85.844, 1.8556, 27.8497, 12.7483, 
