?fem_reduce,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-1,2,1,2.23607,1,2,1, 0.0651062, 0.00861001, 0.0530276, 0, 0, 3, 4, 0.052828073501586914, 0.010265827178955078, 0.000240325927734375, 2.86102294921875e-05, 5.1736831665039062e-05, 3.337860107421875e-06, 0.000518798828125, 0.041719436645507812, 1.0471178250897912, 1.0311178250897912, 0.016, 3, 4, 0.0528281, 0.0493977, 0.00109959, 7.84397e-05, 0.000688314, 1.83582e-05, 0.00123072, 0.000314951, 
1e-1,2,2,2.23607,1,2,2, 0.10364, 0.0193248, 0.0793664, 0, 0, 1, 2, 0.026178836822509766, 0.0097668170928955078, 0.00031566619873046875, 2.7418136596679688e-05, 4.6491622924804688e-05, 3.337860107421875e-06, 0.00019574165344238281, 0.0158233642578125, 1.0631178250897912, 1.0311178250897912, 0.032000000000000001, 4, 6, 0.0790069, 0.0741746, 0.0016551, 0.000105858, 0.000930786, 3.3617e-05, 0.00163841, 0.000468493, 
1e-1,2,3,2.23607,1,2,3, 0.14463, 0.0317702, 0.106743, 0, 0, 1, 2, 0.027175188064575195, 0.011406898498535156, 0.00022196769714355469, 2.7418136596679688e-05, 3.2901763916015625e-05, 6.67572021484375e-06, 0.00021338462829589844, 0.015265941619873047, 1.0791178250897913, 1.0311178250897912, 0.048000000000000001, 5, 8, 0.106182, 0.100129, 0.00212836, 0.000133276, 0.00114036, 4.48227e-05, 0.00203371, 0.000572205, 
1e-1,2,4,2.23607,1,2,4, 0.182522, 0.0408874, 0.134026, 0, 0, 1, 2, 0.027112007141113281, 0.012096405029296875, 0.00029230117797851562, 7.8678131103515625e-05, 5.245208740234375e-05, 2.6226043701171875e-06, 0.00025200843811035156, 0.014337539672851562, 1.0951178250897913, 1.0311178250897912, 0.064000000000000001, 6, 10, 0.133294, 0.125558, 0.00273848, 0.000211954, 0.00147271, 5.14984e-05, 0.00259376, 0.000668049, 
1e-1,2,5,2.23607,1,2,5, 0.217835, 0.0471151, 0.162057, 0, 0, 1, 2, 0.027894496917724609, 0.013556241989135742, 0.00022411346435546875, 3.337860107421875e-05, 3.4332275390625e-05, 2.384185791015625e-06, 0.00020813941955566406, 0.013835906982421875, 1.1111178250897913, 1.0311178250897912, 0.080000000000000002, 7, 12, 0.161189, 0.152191, 0.00325775, 0.000245333, 0.001688, 5.6982e-05, 0.00299215, 0.000757456, 
1e-1,2,6,2.06322,1,2,6, 0.286086, 0.0538919, 0.222386, 0, 0, 3, 4, 0.060157537460327148, 0.011058330535888672, 0.00018048286437988281, 2.002716064453125e-05, 2.3365020751953125e-05, 2.6226043701171875e-06, 0.00019598007202148438, 0.048676729202270508, 1.1269609512176952, 1.0327444311613527, 0.094216520056342193, 10, 16, 0.221346, 0.195408, 0.0160656, 0.000320435, 0.00455761, 7.86781e-05, 0.00392413, 0.00099206, 
1e-1,2,7,1.94699,1,2,7, 0.355834, 0.0745127, 0.270025, 0, 0, 3, 4, 0.047434091567993164, 0.0079777240753173828, 0.00023031234741210938, 4.482269287109375e-05, 0.00010704994201660156, 4.5299530029296875e-06, 0.000347137451171875, 0.038722515106201172, 1.1425633112257441, 1.0339491511774506, 0.10861416004829332, 13, 20, 0.26878, 0.237545, 0.0167649, 0.000437498, 0.00546265, 9.9659e-05, 0.00610614, 0.00236487, 
1e-1,2,8,1.86768,1,2,8, 0.425278, 0.0827162, 0.330191, 0, 0, 3, 4, 0.059968233108520508, 0.012261152267456055, 0.00017333030700683594, 2.0742416381835938e-05, 2.4318695068359375e-05, 4.291534423828125e-06, 0.00044226646423339844, 0.047042131423950195, 1.1580150812317807, 1.0348526911895237, 0.12316239004225665, 16, 24, 0.328748, 0.294415, 0.017668, 0.000518322, 0.00615335, 0.000120401, 0.00724101, 0.0026319, 
1e-1,2,9,1.81131,1,2,9, 0.490555, 0.0880775, 0.388305, 0, 0, 3, 4, 0.057914257049560547, 0.0098514556884765625, 0.0012950897216796875, 8.3684921264648438e-05, 3.9339065551757812e-05, 2.6226043701171875e-06, 0.00026583671569824219, 0.046376228332519531, 1.1733664579031426, 1.0355554445322475, 0.13781101337089482, 19, 28, 0.386663, 0.347925, 0.0196636, 0.000674963, 0.00710678, 0.000175238, 0.00823116, 0.0028863, 
1e-1,2,10,1.76988,1,2,10, 0.553917, 0.09413, 0.444613, 0, 0, 3, 4, 0.056115388870239258, 0.016511678695678711, 0.00025033950805664062, 2.2172927856445312e-05, 2.4080276489257812e-05, 4.0531158447265625e-06, 0.00017476081848144531, 0.039128303527832031, 1.1886475592402319, 1.0361176472064264, 0.15252991203380534, 22, 32, 0.442778, 0.401197, 0.0205858, 0.000747681, 0.00787616, 0.000221014, 0.00903821, 0.00311255, 
1e-1,2,20,1.63088,1,2,11, 0.618395, 0.101347, 0.500691, 0, 0, 3, 4, 0.055880069732666016, 0.010725736618041992, 0.00025606155395507812, 2.9802322387695312e-05, 3.2663345336914062e-05, 2.86102294921875e-06, 0.00022768974304199219, 0.044605255126953125, 1.3398992471014457, 1.0396512910760418, 0.30024795602540388, 25, 36, 0.498658, 0.451643, 0.0216851, 0.000826836, 0.0108771, 0.000238895, 0.0100923, 0.00329471, 
1e-1,2,30,1.88786,1,2,12, 0.7997, 0.110733, 0.671336, 0, 0, 11, 12, 0.17043972015380859, 0.0092260837554931641, 0.00027441978454589844, 0.00043392181396484375, 6.6518783569335938e-05, 4.291534423828125e-06, 0.00028467178344726562, 0.16014981269836426, 1.4766369096935099, 1.12054890526275, 0.35608800443076027, 36, 48, 0.669098, 0.595557, 0.0243571, 0.00167131, 0.0137408, 0.000345707, 0.0288956, 0.00453067, 
1e-1,2,40,2.30811,1,2,13, 0.948827, 0.1222, 0.807446, 0, 0, 9, 10, 0.13595175743103027, 0.010190010070800781, 0.00011754035949707031, 1.9788742065429688e-05, 2.09808349609375e-05, 2.86102294921875e-06, 0.00013780593872070312, 0.12546277046203613, 1.5806778451652743, 1.2085563282772225, 0.37212151688805173, 45, 58, 0.80505, 0.722112, 0.0266812, 0.00192261, 0.0177896, 0.000410318, 0.0311024, 0.00503159, 
