?spgqp_err,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-5,2,1,4.93266e+06,1,2,1, 0.911434, 0.0135639, 0.604589, 0, 0, 23, 24, 0.4003450870513916, 0.0018749237060546875, 0.0035998821258544922, 0.002468109130859375, 1.621246337890625e-05, 0, 0.0042529106140136719, 0.38813304901123047, 975.91478284748234, 974.99593537043415, 0.91884747704803016, 23, 24, 0.400345, 0.0506678, 0.0944576, 0.0650182, 0.0608711, 1.71661e-05, 0.125399, 0.00391388, 
1e-5,2,2,4.93266e+06,1,2,2, 1.4831, 0.02563, 0.894485, 0, 0, 1, 2, 0.027750015258789062, 0.0019121170043945312, 0.0036339759826660156, 0.0024960041046142578, 1.6927719116210938e-05, 0, 0.0042691230773925781, 0.015421867370605469, 976.83363019892522, 974.99593555853994, 1.8376946403854131, 24, 26, 0.428095, 0.0544627, 0.101595, 0.0675142, 0.0631847, 1.81198e-05, 0.133975, 0.00734591, 
1e-5,2,3,4.93266e+06,1,2,3, 2.00881, 0.0380809, 1.10249, 0, 0, 1, 2, 0.027724981307983398, 0.0019700527191162109, 0.0035791397094726562, 0.0025160312652587891, 1.5020370483398438e-05, 0, 0.0042691230773925781, 0.015375614166259766, 977.75247676820118, 974.99593630401273, 2.756540464188463, 25, 28, 0.45582, 0.0583317, 0.108657, 0.0700302, 0.0654855, 1.90735e-05, 0.142658, 0.0106387, 
1e-5,2,4,4.93266e+06,1,2,4, 2.42167, 0.050143, 1.29145, 0, 0, 1, 2, 0.028104066848754883, 0.0018908977508544922, 0.0036089420318603516, 0.0025460720062255859, 1.5974044799804688e-05, 0, 0.0042810440063476562, 0.015761137008666992, 978.67132134953454, 974.9959381421919, 3.6753832073426738, 26, 30, 0.483924, 0.0621195, 0.115772, 0.0725763, 0.0678387, 1.90735e-05, 0.151279, 0.0143199, 
1e-5,2,5,4.93266e+06,1,2,5, 2.87024, 0.0622032, 1.45303, 0, 0, 1, 2, 0.028174877166748047, 0.0019750595092773438, 0.0036158561706542969, 0.0025351047515869141, 1.5974044799804688e-05, 0, 0.0042979717254638672, 0.01573491096496582, 979.59016220840113, 974.99594175483321, 4.5942204535678277, 27, 32, 0.512099, 0.0660017, 0.122891, 0.0751114, 0.0701346, 2.00272e-05, 0.15995, 0.0179906, 
1e-5,2,6,4.91832e+06,1,2,6, 3.9601, 0.0742581, 2.16933, 0, 0, 35, 36, 0.56163287162780762, 0.0018961429595947266, 0.0038731098175048828, 0.0025029182434082031, 1.5974044799804688e-05, 0, 0.0042829513549804688, 0.54906177520751953, 979.64227590398968, 976.06794708073539, 3.5743288232543304, 62, 68, 1.07373, 0.142137, 0.253546, 0.170395, 0.161943, 3.55244e-05, 0.323967, 0.0217078, 
1e-5,2,7,4.91832e+06,1,2,7, 4.58193, 0.0867612, 2.42377, 0, 0, 1, 2, 0.028975009918212891, 0.0019989013671875, 0.0039961338043212891, 0.0025608539581298828, 1.5974044799804688e-05, 0, 0.0043120384216308594, 0.016091108322143555, 980.23799709421655, 976.06794888905233, 4.1700482051642034, 63, 70, 1.10271, 0.146072, 0.261089, 0.172956, 0.164756, 3.55244e-05, 0.33273, 0.02507, 
1e-5,2,8,4.91832e+06,1,2,8, 5.17689, 0.0988202, 2.67066, 0, 0, 1, 2, 0.028564214706420898, 0.0019829273223876953, 0.0036158561706542969, 0.0025701522827148438, 1.6927719116210938e-05, 0, 0.0043249130249023438, 0.016053438186645508, 980.83371700325552, 976.06795323490451, 4.7657637683511478, 64, 72, 1.13127, 0.149956, 0.26824, 0.175526, 0.167047, 3.55244e-05, 0.341501, 0.0289655, 
1e-5,2,9,4.91832e+06,1,2,9, 5.76438, 0.110892, 2.94139, 0, 0, 1, 2, 0.028162002563476562, 0.0019869804382324219, 0.0035920143127441406, 0.0025510787963867188, 1.5974044799804688e-05, 0, 0.0043139457702636719, 0.015702009201049805, 981.42943432570542, 976.06796088351791, 5.3614734421873589, 65, 74, 1.15943, 0.153905, 0.27538, 0.178077, 0.16934, 3.55244e-05, 0.350182, 0.0325134, 
1e-5,2,10,4.90769e+06,1,2,10, 6.97514, 0.123009, 3.71123, 0, 0, 39, 40, 0.58362889289855957, 0.0020160675048828125, 0.0035967826843261719, 0.0025248527526855469, 1.71661376953125e-05, 0, 0.0042538642883300781, 0.57122015953063965, 981.66916498481282, 977.37601034100749, 4.29315464380538, 104, 114, 1.74306, 0.229735, 0.419631, 0.276752, 0.259214, 5.31673e-05, 0.521591, 0.036087, 
