?ngpus,K,epssqr,abserr,energy,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
4,2,3000,405445,296031,1,2,1, 594.232, 0.0484049, 593.932, 0, 0, 19203, 19204, 593.82765507698059, 0.0044281482696533203, 0.0078999996185302734, 0.0052011013031005859, 2.002716064453125e-05, 0, 0.00885009765625, 593.80125570297241, 10.027600991449422, 10.000252180680985, 0.027348810768438488, 19203, 19204, 593.828, 84.8407, 152.256, 98.0633, 89.1084, 0.00766516, 169.501, 0.0509624, 
128,2,3000,404705,1.5861e+06,1,2,1, 120.178, 0.001333, 116.258, 0, 0, 19845, 19846, 112.85643100738525, 0.00038313865661621094, 0.00068902969360351562, 0.00096583366394042969, 1.5974044799804688e-05, 0, 0.0014460086822509766, 112.85293102264404, 10.027598084816518, 10.000250363120239, 0.027347721696280119, 19845, 19846, 112.856, 8.85978, 19.6082, 20.8205, 28.1756, 0.00361228, 35.3477, 0.0411041, 
16,2,3000,408648,311252,1,2,1, 162.704, 0.00953913, 162.219, 0, 0, 14994, 14995, 161.79383516311646, 0.0012340545654296875, 0.0025000572204589844, 0.0018780231475830078, 1.71661376953125e-05, 0, 0.0031290054321289062, 161.78507685661316, 10.027616323325724, 10.000259041857632, 0.027357281468091098, 14994, 14995, 161.794, 18.4702, 38.3871, 28.5164, 28.7959, 0.0036819, 47.5996, 0.0208941, 
32,2,3000,405212,512049,1,2,1, 138.554, 0.00483274, 137.285, 0, 0, 19280, 19281, 136.63944911956787, 0.00064992904663085938, 0.0014588832855224609, 0.0013799667358398438, 1.621246337890625e-05, 0, 0.0023779869079589844, 136.63356614112854, 10.027600032499951, 10.000251110709087, 0.027348921790865802, 19280, 19281, 136.639, 12.9851, 28.7588, 26.6296, 27.4159, 0.00373769, 40.6873, 0.159069, 
256,2,3000,409033,1.98845e+06,1,2,1, 74.5389, 0.000699282, 65.4625, 0, 0, 14529, 14530, 58.695479869842529, 0.00019407272338867188, 0.00047516822814941406, 0.00093102455139160156, 1.5974044799804688e-05, 9.5367431640625e-07, 0.00052595138549804688, 58.693336725234985, 10.027618407838006, 10.00025830602948, 0.027360101808529116, 14529, 14530, 58.6955, 5.71457, 12.6859, 14.8182, 10.1969, 0.00254488, 15.2332, 0.0441711, 
8,2,3000,409713,244666,1,2,1, 251.114, 0.0179191, 250.826, 0, 0, 14464, 14465, 250.55899000167847, 0.0024089813232421875, 0.0044789314270019531, 0.0028920173645019531, 1.71661376953125e-05, 0, 0.0049550533294677734, 250.54423785209656, 10.027622350345192, 10.000260978017035, 0.027361372328158756, 14464, 14465, 250.559, 33.252, 64.1812, 42.0769, 38.9599, 0.00503612, 72.0606, 0.0232563, 
64,2,3000,404996,740610,1,2,1, 109.411, 0.00248384, 107.375, 0, 0, 19369, 19370, 106.00907492637634, 0.00042891502380371094, 0.0010590553283691406, 0.0010528564453125, 1.71661376953125e-05, 0, 0.0016119480133056641, 106.00490498542786, 10.027599193313897, 10.000250980567856, 0.027348212746043456, 19369, 19370, 106.009, 8.76808, 18.9982, 21.6404, 24.2932, 0.00352716, 32.264, 0.0415571, 
2,2,3000,408630,197146,1,2,1, 772.923, 0.0954652, 772.585, 0, 0, 14846, 14847, 772.46274495124817, 0.0087609291076660156, 0.0085361003875732422, 0.0093898773193359375, 2.384185791015625e-05, 9.5367431640625e-07, 0.017016172409057617, 772.41901707649231, 10.027616216319188, 10.000258733326412, 0.027357482992776912, 14846, 14847, 772.463, 129.111, 126.446, 139.213, 126.263, 0.00714087, 251.376, 0.0456135, 
1,2,3000,408220,197508,1,2,1, 1542.15, 0.194077, 1541.63, 0, 0, 15190, 15191, 1541.6117959022522, 0.017347097396850586, 0.016769886016845703, 0.017790079116821289, 2.5033950805664062e-05, 0, 0.033656120300292969, 1541.5262076854706, 10.027614033101187, 10.000258383311893, 0.027355649789293578, 15190, 15191, 1541.61, 262.457, 254.942, 271.071, 243.664, 0.00650024, 509.423, 0.0481157, 
