?ncpus,K,epssqr,abserr,energy,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
128,2,3000,408684,7.75824e+08,1,2,1, 1480.02, 0.001858, 681.197, 0, 0, 14985, 14986, 96.190847873687744, 0.00031709671020507812, 0.0059959888458251953, 0.0023400783538818359, 1.0013580322265625e-05, 0, 0.0041279792785644531, 96.178056716918945, 10.027616522453801, 10.000259411546505, 0.027357110907296506, 14985, 14986, 96.1908, 5.62362, 50.8149, 1.86586, 18.3633, 0.00478339, 19.3256, 0.192798, 
64,2,3000,408723,1.44432e+08,1,2,1, 422.11, 0.00222206, 129.689, 0, 0, 14974, 14975, 65.520857095718384, 0.00080609321594238281, 0.0016300678253173828, 0.00011181831359863281, 1.2874603271484375e-05, 0, 0.00060510635375976562, 65.517691135406494, 10.027616744380904, 10.000259506320001, 0.027357238060904419, 14974, 14975, 65.5209, 9.47336, 29.4923, 2.09117, 11.4599, 0.00470901, 12.9172, 0.082257, 
2,2,3000,408694,1.40345e+07,1,2,1, 680.832, 0.00437093, 678.592, 0, 0, 14965, 14966, 676.97448205947876, 0.015444040298461914, 0.0066890716552734375, 0.0026018619537353516, 0.0037200450897216797, 9.5367431640625e-07, 0.0082111358642578125, 676.93781495094299, 10.027616418165433, 10.000255410915777, 0.027361007249658148, 14965, 14966, 676.974, 231.785, 101.543, 39.1573, 180.63, 0.00862765, 123.66, 0.189882, 
8,2,3000,408356,1.12108e+07,1,2,1, 153.835, 0.00277591, 136.613, 0, 0, 15224, 15225, 132.09242415428162, 0.0036420822143554688, 0.0020091533660888672, 0.00030398368835449219, 0.00028109550476074219, 0, 0.0013420581817626953, 132.08484578132629, 10.027614757774153, 10.000258725747319, 0.027356032026833146, 15224, 15225, 132.092, 56.3224, 34.0858, 4.761, 15.7307, 0.00680232, 21.1056, 0.0801597, 
4,2,3000,404933,1.50833e+07,1,2,1, 366.344, 0.003268, 361.463, 0, 0, 18757, 18758, 356.49673295021057, 0.0070900917053222656, 0.004154205322265625, 0.00086188316345214844, 0.0016739368438720703, 0, 0.0028591156005859375, 356.48009371757507, 10.027598874831643, 10.00024793461241, 0.027350940219236841, 18757, 18758, 356.497, 136.283, 69.3052, 16.4463, 79.1108, 0.0100508, 55.2134, 0.128355, 
32,2,3000,409178,3.14843e+07,1,2,1, 152.214, 0.00247598, 85.9046, 0, 0, 14586, 14587, 51.527130126953125, 0.0010631084442138672, 0.00087714195251464844, 7.7009201049804688e-05, 3.0040740966796875e-05, 0, 0.00036787986755371094, 51.524714946746826, 10.027619268291861, 10.000260042663722, 0.02735922562814104, 14586, 14587, 51.5271, 16.0102, 18.3612, 1.63071, 7.32873, 0.00506854, 8.13688, 0.0544271, 
16,2,3000,408980,1.40736e+07,1,2,1, 116.666, 0.00182295, 89.6839, 0, 0, 14832, 14833, 68.573078155517578, 0.0020689964294433594, 0.0010430812835693359, 0.0001010894775390625, 6.5088272094726562e-05, 1.1920928955078125e-06, 0.0005588531494140625, 68.569239854812622, 10.02761816914704, 10.000260009668175, 0.027358159478866391, 14832, 14833, 68.5731, 30.962, 20.1241, 2.00412, 7.12649, 0.00633264, 8.28133, 0.0687068, 
1,2,3000,405013,1.59257e+07,1,2,1, 1595.88, 0.00882912, 1595.77, 0, 0, 19646, 19647, 1595.761029958725, 0.022109031677246094, 0.013237953186035156, 0.0049109458923339844, 0.0078878402709960938, 0, 0.015511035919189453, 1595.6973731517792, 10.027599265060692, 10.000251132444603, 0.027348132616079584, 19646, 19647, 1595.76, 440.404, 260.135, 96.4146, 493.673, 0.0117283, 304.993, 0.129545,
