n,sigmaid,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
54,8,2,1,0.450978,1,2,806, 281.611, 0.153276, 280.364, 0, 0, 1000, 1001, 0.65984559059143066, 8.58306884765625e-05, 9.7990036010742188e-05, 0.00010633468627929688, 1.430511474609375e-05, 0, 0.00021266937255859375, 0.65932846069335938, 274.63160159244705, 274.45324636702679, 0.17835522542026144, 422732, 423554, 279.343, 36.3536, 41.8217, 45.9455, 62.4988, 0.127729, 92.093, 0.50289, 
98,1,2,1e-14,0,1,2,828, 214.004, 0.154682, 212.705, 0, 0, 153, 154, 0.10056066513061523, 8.3446502685546875e-05, 9.7751617431640625e-05, 0.00010657310485839844, 1.430511474609375e-05, 0, 0.00021624565124511719, 0.10004234313964844, 0.38136878224665305, 0.38043387267641143, 0.00093490957025265308, 323433, 324278, 211.665, 26.9923, 31.9793, 34.2883, 47.3925, 0.0994101, 70.4907, 0.422496, 
96,5,2,0.01,0.142601,1,2,775, 300.289, 0.148693, 299.023, 0, 0, 453, 454, 0.29994821548461914, 8.4161758422851562e-05, 9.8466873168945312e-05, 0.00010609626770019531, 1.4066696166992188e-05, 0, 0.0002193450927734375, 0.29942607879638672, 4.5927058372349148, 4.5882889623222081, 0.0044168749127507217, 448766, 449559, 296.499, 37.6608, 44.312, 47.6739, 67.5445, 0.136375, 98.6674, 0.503534, 
95,8,2,0.001,0.492322,1,2,778, 261.664, 0.148242, 260.482, 0, 0, 457, 458, 0.29851627349853516, 8.5115432739257812e-05, 9.7990036010742188e-05, 0.0001068115234375, 1.4543533325195312e-05, 0, 0.00021481513977050781, 0.29799699783325195, 272.74892884158334, 272.55212907904786, 0.19679976253556503, 397851, 398646, 259.577, 33.4391, 39.1597, 42.1575, 58.2948, 0.126396, 85.9232, 0.476779, 
9,1,2,1e-14,0,1,2,819, 215.802, 0.155852, 214.591, 0, 0, 103, 104, 0.068441867828369141, 8.3684921264648438e-05, 9.6082687377929688e-05, 0.00010323524475097656, 1.430511474609375e-05, 0, 0.00021004676818847656, 0.067934513092041016, 0.38136028592483229, 0.38050907696711345, 0.00085120895765224613, 325371, 326207, 213.652, 27.4944, 32.2661, 34.6141, 48.0403, 0.100355, 70.7012, 0.435744, 
20,3,2,0.0005,0.0195901,1,2,869, 191.96, 0.165211, 190.62, 0, 0, 11, 12, 0.0080618858337402344, 8.5115432739257812e-05, 0.00010085105895996094, 0.00010848045349121094, 1.4781951904296875e-05, 0, 0.00021886825561523438, 0.0075337886810302734, 0.62746522568019858, 0.62689670341067405, 0.00056852226975776486, 288187, 289071, 189.473, 24.2504, 28.6042, 30.7664, 42.5987, 0.0888441, 62.7514, 0.412768, 
5,10,2,0.05,0.489461,1,2,555, 201.609, 0.10617, 200.722, 0, 0, 664, 665, 0.43726587295532227, 8.4400177001953125e-05, 9.918212890625e-05, 0.00010728836059570312, 1.4066696166992188e-05, 2.384185791015625e-07, 0.00021839141845703125, 0.43674230575561523, 4303.2891302334174, 4302.7363554880458, 0.55277474537094529, 303860, 304433, 200.04, 25.6017, 30.1378, 32.4743, 44.8917, 0.0925572, 66.4849, 0.357138, 
63,6,2,0.05,0.236091,1,2,851, 308.353, 0.158882, 307.093, 0, 0, 1000, 1001, 0.65792703628540039, 8.3446502685546875e-05, 9.7990036010742188e-05, 0.00010657310485839844, 1.430511474609375e-05, 2.384185791015625e-07, 0.00021815299987792969, 0.65740633010864258, 17.158460954138739, 17.155449135002556, 0.0030118191361182059, 462552, 463419, 305.07, 38.8935, 45.3902, 49.1509, 69.1552, 0.143812, 101.809, 0.527548, 
33,1,2,1e-14,0,1,2,818, 221.787, 0.156089, 220.487, 0, 0, 1, 2, 0.0013964176177978516, 8.4400177001953125e-05, 0.0001068115234375, 0.00011038780212402344, 1.4781951904296875e-05, 0, 0.00022125244140625, 0.00085878372192382812, 0.38159571438278361, 0.38062555987673496, 0.0009701545058599919, 330160, 330996, 217.616, 27.6316, 32.6863, 35.0786, 48.6264, 0.103348, 73.0499, 0.439964, 
43,1,2,1e-14,0,1,2,698, 216.255, 0.130395, 215.18, 0, 0, 166, 167, 0.10975241661071777, 8.3684921264648438e-05, 0.00010204315185546875, 0.00010538101196289062, 1.4066696166992188e-05, 0, 0.00021910667419433594, 0.10922813415527344, 0.38167652665328833, 0.3808900215389141, 0.00078650511414106385, 323179, 323894, 212.834, 27.0868, 31.7677, 34.0912, 48.3485, 0.103458, 71.0412, 0.395502, 
