n,sigmaid,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
87,1,2,0.0005,0.0161437,1,2,781, 199.664, 0.148825, 198.359, 0, 0, 6, 7, 0.0046911239624023438, 8.392333984375e-05, 9.7513198852539062e-05, 0.00010704994201660156, 1.4066696166992188e-05, 2.384185791015625e-07, 0.00021839141845703125, 0.0041699409484863281, 0.56216883319253652, 0.56155837059503044, 0.00061046259758370755, 297880, 298677, 197.286, 25.1119, 29.3236, 31.8989, 44.6491, 0.0911777, 65.8106, 0.400204, 
97,6,2,100,0.366148,1,2,736, 265.225, 0.141142, 263.9, 0, 0, 1000, 1001, 0.65717291831970215, 8.4161758422851562e-05, 9.7513198852539062e-05, 0.00010466575622558594, 1.430511474609375e-05, 0, 0.00021767616271972656, 0.65665459632873535, 199.79591791381762, 199.79217214942375, 0.0037457643938376001, 399440, 400192, 262.785, 33.6392, 39.2106, 42.0419, 59.699, 0.121399, 87.6047, 0.468519, 
9,2,2,0.001,0.0470668,1,2,856, 244.336, 0.161868, 243.047, 0, 0, 29, 30, 0.01980900764465332, 8.4400177001953125e-05, 9.8705291748046875e-05, 0.00010538101196289062, 1.430511474609375e-05, 0, 0.00021886825561523438, 0.019287347793579102, 1.1716554563196437, 1.1704113279197454, 0.0012441283998426266, 366617, 367488, 241.883, 30.7904, 36.2251, 38.6548, 54.9608, 0.11465, 80.6775, 0.459319, 
100,8,2,5,0.413173,1,2,590, 221.967, 0.111403, 220.937, 0, 0, 1000, 1001, 0.6613163948059082, 8.487701416015625e-05, 9.7751617431640625e-05, 0.00010776519775390625, 1.4543533325195312e-05, 0, 0.00022101402282714844, 0.66079044342041016, 3227.8494884711449, 3227.6332858724709, 0.2162025986744989, 332518, 333126, 220.102, 28.1931, 32.6715, 35.5391, 49.8843, 0.100253, 73.3275, 0.386405, 
10,5,2,0.1,0.364796,1,2,832, 313.595, 0.156809, 312.327, 0, 0, 1000, 1001, 0.6544349193572998, 8.3446502685546875e-05, 9.4890594482421875e-05, 0.0001068115234375, 1.4781951904296875e-05, 0, 0.00021791458129882812, 0.65391707420349121, 51.729210828592514, 51.67684733850384, 0.052363490088716498, 474826, 475674, 310.769, 39.6217, 45.1283, 50.4881, 70.829, 0.148383, 104.002, 0.551467, 
27,1,2,0.0005,0.0153347,1,2,743, 219.744, 0.141717, 218.121, 0, 0, 151, 152, 0.10129642486572266, 8.5115432739257812e-05, 9.822845458984375e-05, 0.00010657310485839844, 1.4543533325195312e-05, 0, 0.00022006034851074219, 0.10077190399169922, 0.57250163820308075, 0.57162581306608606, 0.00087582513709465095, 325719, 326479, 216.573, 27.881, 32.1564, 35.2607, 48.9329, 0.103261, 71.8277, 0.411052, 
95,1,2,0.0005,0.0155953,1,2,864, 212.015, 0.16146, 210.548, 0, 0, 140, 141, 0.092988252639770508, 8.5592269897460938e-05, 9.918212890625e-05, 0.00010561943054199219, 1.430511474609375e-05, 0, 0.00022029876708984375, 0.092463254928588867, 0.56169229422772349, 0.56095655118367549, 0.00073574304394822144, 314223, 315102, 207.752, 26.4851, 31.051, 33.2014, 47.1848, 0.100469, 69.2945, 0.435044, 
76,1,2,0.0005,0.016139,1,2,760, 230.978, 0.145235, 228.7, 0, 0, 98, 99, 0.065593481063842773, 8.5115432739257812e-05, 9.8943710327148438e-05, 0.00010657310485839844, 1.430511474609375e-05, 2.384185791015625e-07, 0.0002193450927734375, 0.065068960189819336, 0.56564925949219469, 0.5645644405734237, 0.0010848189187931288, 344354, 345131, 227.655, 29.154, 34.2197, 36.914, 50.8636, 0.111732, 75.9526, 0.439702, 
14,9,2,5,0.472479,1,2,536, 168.004, 0.101746, 167.134, 0, 0, 1000, 1001, 0.65945672988891602, 8.4638595581054688e-05, 9.8466873168945312e-05, 0.00010657310485839844, 1.4781951904296875e-05, 0, 0.00021862983703613281, 0.65893363952636719, 13122.963055654636, 13121.921947227913, 1.0411084267230502, 252698, 253253, 166.447, 21.3005, 24.834, 26.6898, 37.7369, 0.0747807, 55.495, 0.315986, 
11,3,2,0.01,0.111329,1,2,812, 278.125, 0.154668, 276.881, 0, 0, 82, 83, 0.055171012878417969, 8.58306884765625e-05, 9.822845458984375e-05, 0.00010657310485839844, 1.5020370483398438e-05, 0, 0.00021886825561523438, 0.054646492004394531, 3.642996658535834, 3.6393593179127208, 0.0036373406231688232, 415733, 416561, 275.621, 35.6514, 40.9953, 44.0149, 62.6237, 0.130694, 91.6966, 0.5082, 
77,1,2,0.0005,0.0159982,1,2,623, 215.967, 0.119502, 214.984, 0, 0, 214, 215, 0.14205670356750488, 8.4638595581054688e-05, 9.7990036010742188e-05, 0.00010585784912109375, 1.4066696166992188e-05, 0, 0.00021958351135253906, 0.14153456687927246, 0.56244512522371926, 0.56168173281651557, 0.0007633924070149763, 324339, 324980, 214.168, 27.4596, 31.8287, 34.3091, 48.5723, 0.0969751, 71.5117, 0.389276, 
82,10,2,10,0.456913,1,2,431, 164.039, 0.0839465, 163.375, 0, 0, 777, 778, 0.51276254653930664, 8.487701416015625e-05, 9.822845458984375e-05, 0.00010609626770019531, 1.430511474609375e-05, 0, 0.00022029876708984375, 0.51223874092102051, 51523.179285418861, 51521.247753415213, 1.931532003654143, 246834, 247285, 162.863, 20.8741, 24.2637, 26.1263, 36.9376, 0.0755043, 54.297, 0.288717, 
28,4,2,0.01,0.229112,1,2,863, 311.084, 0.163998, 309.49, 0, 0, 1000, 1001, 0.66303062438964844, 8.487701416015625e-05, 9.822845458984375e-05, 0.00010609626770019531, 1.430511474609375e-05, 0, 0.00022244453430175781, 0.66250467300415039, 13.238729639515933, 13.230441023147067, 0.008288616368811539, 463740, 464619, 308.102, 39.0173, 45.7784, 49.238, 69.7835, 0.147861, 103.584, 0.552607, 
32,5,2,0.1,0.362446,1,2,750, 289.616, 0.142429, 288.051, 0, 0, 1000, 1001, 0.65348529815673828, 8.392333984375e-05, 9.7513198852539062e-05, 0.00010704994201660156, 1.5020370483398438e-05, 2.384185791015625e-07, 0.00021672248840332031, 0.65296483039855957, 51.665745081530815, 51.629393768862514, 0.036351312668339388, 435455, 436222, 284.814, 36.541, 42.8558, 46.2535, 63.8375, 0.129199, 94.6886, 0.508486, 
51,7,2,0.05,0.484515,1,2,559, 250.796, 0.106954, 249.896, 0, 0, 1000, 1001, 0.65755677223205566, 8.392333984375e-05, 9.7751617431640625e-05, 0.0001068115234375, 1.4066696166992188e-05, 0, 0.00021696090698242188, 0.65703725814819336, 809.12561968605883, 808.94818750514855, 0.17743218091006774, 379299, 379877, 249.146, 31.8335, 37.2277, 40.0111, 56.6772, 0.11459, 82.8676, 0.414175, 
71,9,2,100,0.460676,1,2,498, 168.119, 0.0952892, 167.313, 0, 0, 195, 196, 0.12976408004760742, 8.487701416015625e-05, 9.822845458984375e-05, 0.00010585784912109375, 1.4066696166992188e-05, 0, 0.00022006034851074219, 0.12924098968505859, 13215.867279534908, 13214.914723541444, 0.9525559934658796, 250610, 251127, 165.778, 21.2143, 24.6611, 26.5688, 37.5675, 0.0805757, 55.3894, 0.295765, 
99,4,2,0.05,0.24371,1,2,878, 313.113, 0.164381, 311.577, 0, 0, 1000, 1001, 0.65837836265563965, 8.4161758422851562e-05, 9.8943710327148438e-05, 0.00010585784912109375, 1.430511474609375e-05, 0, 0.00021886825561523438, 0.65785622596740723, 13.150737964432025, 13.118494593198999, 0.03224337123303668, 471091, 471985, 310.318, 39.7242, 46.3039, 49.608, 70.5036, 0.13951, 103.491, 0.548084, 
1,7,2,100,0.459784,1,2,593, 236.517, 0.11351, 235.537, 0, 0, 1000, 1001, 0.66075778007507324, 8.5115432739257812e-05, 9.9658966064453125e-05, 0.00010514259338378906, 1.430511474609375e-05, 0, 0.0002193450927734375, 0.66023421287536621, 815.32251626943105, 815.09460029411673, 0.22791597531437702, 354994, 355605, 234.72, 30.0491, 35.0238, 37.4769, 53.4134, 0.113389, 78.2234, 0.420364, 
44,6,2,0.1,0.42987,1,2,711, 214.576, 0.135461, 212.816, 0, 0, 6, 7, 0.0047330856323242188, 8.5115432739257812e-05, 9.8943710327148438e-05, 0.00010824203491210938, 1.4781951904296875e-05, 0, 0.00022149085998535156, 0.0042045116424560547, 204.91616704613031, 204.85212639179559, 0.064040654334712621, 320337, 321065, 210.75, 26.8833, 31.5283, 34.0087, 47.3173, 0.0981095, 70.5138, 0.400803, 
44,8,2,1e-14,0.5033,1,2,614, 239.571, 0.116695, 238.411, 0, 0, 1000, 1001, 0.65720176696777344, 8.3684921264648438e-05, 9.7751617431640625e-05, 0.00010561943054199219, 1.4066696166992188e-05, 0, 0.000217437744140625, 0.65668320655822754, 3159.3373460069852, 3158.9952696587748, 0.34207634821109534, 360271, 360903, 237.196, 30.2954, 35.3457, 37.9867, 53.8456, 0.111071, 79.2037, 0.407407, 
50,10,2,1,0.492353,1,2,503, 156.927, 0.0962427, 156.127, 0, 0, 1000, 1001, 0.65911030769348145, 8.487701416015625e-05, 9.5367431640625e-05, 0.00010776519775390625, 1.4781951904296875e-05, 0, 0.00022006034851074219, 0.65858745574951172, 51650.015874420751, 51648.010626461939, 2.0052479588078227, 235105, 235627, 155.046, 19.8838, 22.503, 25.2207, 35.3135, 0.072854, 51.7595, 0.29254, 
57,9,2,0.1,0.478248,1,2,457, 203.681, 0.0886362, 202.921, 0, 0, 1000, 1001, 0.65835785865783691, 8.5115432739257812e-05, 9.7751617431640625e-05, 0.00010728836059570312, 1.430511474609375e-05, 0, 0.00021672248840332031, 0.6578366756439209, 13203.501924871851, 13202.591882267883, 0.9100426039680779, 289640, 290116, 190.364, 24.4771, 28.4308, 30.9353, 43.2538, 0.0902817, 62.8467, 0.329723, 
96,10,2,5e-05,0.503574,1,2,517, 153.584, 0.0979815, 152.744, 0, 0, 587, 588, 0.38477277755737305, 8.487701416015625e-05, 9.441375732421875e-05, 0.00010466575622558594, 1.430511474609375e-05, 2.384185791015625e-07, 0.000217437744140625, 0.38425683975219727, 53527.929654515559, 53525.475211432342, 2.4544430832287309, 231946, 232482, 152.141, 19.5023, 22.1823, 24.5494, 34.7211, 0.069083, 50.8186, 0.298493, 
60,10,2,0.5,0.470057,1,2,494, 148.91, 0.0964386, 148.136, 0, 0, 58, 59, 0.039117336273193359, 8.392333984375e-05, 9.9420547485351562e-05, 0.00010585784912109375, 1.430511474609375e-05, 0, 0.00021386146545410156, 0.038599967956542969, 50994.794647372808, 50992.633893425889, 2.1607539469108783, 219621, 220135, 145.095, 18.4212, 21.7696, 23.676, 32.3828, 0.0656171, 48.5007, 0.279181, 
74,8,2,0.5,0.47753,1,2,652, 226.582, 0.125376, 225.576, 0, 0, 1000, 1001, 0.6542971134185791, 8.392333984375e-05, 9.822845458984375e-05, 0.00010538101196289062, 1.4066696166992188e-05, 0, 0.00021529197692871094, 0.65378022193908691, 3230.7984889348108, 3230.3969097662521, 0.40157916855883447, 341088, 341758, 223.745, 28.777, 33.6027, 35.8786, 51.0687, 0.107929, 73.9032, 0.406561, 
21,8,2,5e-05,0.500581,1,2,611, 243.01, 0.11741, 242.018, 0, 0, 1000, 1001, 0.6582179069519043, 8.5592269897460938e-05, 9.632110595703125e-05, 0.00010251998901367188, 1.4066696166992188e-05, 2.384185791015625e-07, 0.00021314620971679688, 0.65770602226257324, 3235.6663836035068, 3235.0360344022401, 0.63034920126753613, 362869, 363499, 239.216, 30.6583, 35.6495, 38.387, 54.2817, 0.108392, 79.7147, 0.416222, 
