ncpus,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
2,2,0.001,0.474371,1,2,1, 0.79023, 0.00062108, 0.729934, 0, 0, 110, 111, 0.72923493385314941, 0.0041611194610595703, 0.00039792060852050781, 0.00011515617370605469, 0.00011801719665527344, 0, 0.0002899169921875, 0.72415280342102051, 994.32108691814869, 991.28501904438883, 3.0360678737598228, 110, 111, 0.729235, 0.465249, 0.0604153, 0.0131185, 0.05092, 2.14577e-05, 0.0469065, 0.0926039, 
3,2,0.001,0.474371,1,2,1, 0.661625, 0.000414848, 0.569785, 0, 0, 110, 111, 0.52782011032104492, 0.0028569698333740234, 0.00027704238891601562, 8.296966552734375e-05, 7.7962875366210938e-05, 0, 0.00021314620971679688, 0.52431201934814453, 994.32108691814892, 991.28501904438895, 3.0360678737597953, 110, 111, 0.52782, 0.311699, 0.0459406, 0.00981259, 0.0359697, 2.02656e-05, 0.0302751, 0.0941031, 
8,2,0.001,0.474371,1,2,1, 0.764989, 0.000152826, 0.512923, 0, 0, 110, 111, 0.34223079681396484, 0.0011281967163085938, 0.00012302398681640625, 3.7908554077148438e-05, 2.6941299438476562e-05, 0, 0.00053501129150390625, 0.34037971496582031, 994.32108691814824, 991.28501904438883, 3.0360678737598166, 110, 111, 0.342231, 0.126547, 0.0241306, 0.0048461, 0.0180509, 1.93119e-05, 0.0182328, 0.150404, 
4,2,0.001,0.474371,1,2,1, 0.661433, 0.000306129, 0.509564, 0, 0, 110, 111, 0.43966507911682129, 0.002185821533203125, 0.00021600723266601562, 6.198883056640625e-05, 5.9843063354492188e-05, 0, 0.00016617774963378906, 0.43697524070739746, 994.32108691814869, 991.28501904438883, 3.0360678737597846, 110, 111, 0.439665, 0.239397, 0.0391219, 0.00831866, 0.0304401, 2.02656e-05, 0.0313139, 0.0910537, 
7,2,0.001,0.474371,1,2,1, 0.804264, 0.000180006, 0.604769, 0, 0, 110, 111, 0.42555499076843262, 0.0012850761413574219, 0.00013995170593261719, 4.100799560546875e-05, 3.3140182495117188e-05, 0, 0.00040197372436523438, 0.42365384101867676, 994.32108691814847, 991.28501904438849, 3.0360678737598361, 110, 111, 0.425555, 0.142791, 0.0347292, 0.00670528, 0.0217552, 1.7643e-05, 0.0261478, 0.193409, 
6,2,0.001,0.474371,1,2,1, 0.637145, 0.000211, 0.40493, 0, 0, 110, 111, 0.31834292411804199, 0.0015151500701904297, 0.00016093254089355469, 5.1021575927734375e-05, 3.910064697265625e-05, 0, 0.00013089179992675781, 0.31644582748413086, 994.32108691814858, 991.28501904438838, 3.0360678737598263, 110, 111, 0.318343, 0.164186, 0.0257638, 0.00781298, 0.0241253, 1.71661e-05, 0.0260451, 0.0703926, 
5,2,0.001,0.474371,1,2,1, 0.629792, 0.000250101, 0.472899, 0, 0, 110, 111, 0.37001180648803711, 0.0017690658569335938, 0.00017380714416503906, 5.1975250244140625e-05, 4.6968460083007812e-05, 0, 0.00014591217041015625, 0.36782407760620117, 994.32108691814938, 991.28501904438849, 3.0360678737598166, 110, 111, 0.370012, 0.196027, 0.0278418, 0.00611973, 0.0226197, 1.97887e-05, 0.0256391, 0.0917449, 
1,2,0.001,0.474371,1,2,1, 1.19233, 0.00133801, 1.18579, 0, 0, 110, 111, 1.1849000453948975, 0.0081610679626464844, 0.00065088272094726562, 0.00016117095947265625, 0.00022387504577636719, 0, 0.00063920021057128906, 1.1750638484954834, 994.32108691814756, 991.28501904438906, 3.0360678737598299, 110, 111, 1.1849, 0.906136, 0.0778599, 0.0206466, 0.100345, 2.47955e-05, 0.0722651, 0.00762248,
