width,height,T,K,depth,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
256,128,1000,2,10,0.008,20573.9,0.5,0.51,11, 83.5222, 3.8621, 77.6962, 0.00503707, 0.00600004, 247, 248, 12.482975006103516, 0.0031559467315673828, 0.032491922378540039, 0.0028369426727294922, 0.0028500556945800781, 0, 0.0043289661407470703, 12.437311172485352, 133.84050551678163, 133.24712636413153, 74172.394081263148, 1524, 1535, 77.6825, 4.63394, 49.9847, 5.04903, 10.2543, 0.000374794, 7.73572, 0.0242939, 
256,128,1000,2,11,0.009,18977.3,0.5,0.51,12, 95.3439, 4.20396, 89.0055, 0.00545406, 0.00643992, 224, 225, 11.307891845703125, 0.0028109550476074219, 0.032501935958862305, 0.0028400421142578125, 0.0028469562530517578, 0, 0.0045030117034912109, 11.262388944625854, 133.90666223671764, 133.37547110794088, 59021.236530751456, 1748, 1760, 88.9903, 5.28012, 57.3003, 5.79518, 11.7619, 0.00042057, 8.8258, 0.0266664, 
256,128,1000,2,12,0.01,17739.7,0.5,0.51,13, 110.752, 4.54408, 103.903, 0.00591421, 0.00690293, 295, 296, 14.896481990814209, 0.0027880668640136719, 0.032531023025512695, 0.0028631687164306641, 0.0028450489044189453, 0, 0.0042510032653808594, 14.851203680038452, 133.95995622276664, 133.47865922577387, 48129.699699277713, 2043, 2056, 103.887, 6.13953, 66.9249, 6.71763, 13.7474, 0.000484467, 10.3278, 0.0291479, 
256,128,1000,2,13,0.02,13294,0.5,0.51,14, 151.701, 4.88872, 144.336, 0.00647616, 0.00823998, 799, 800, 40.431859016418457, 0.0029480457305908203, 0.032449960708618164, 0.0030329227447509766, 0.0028460025787353516, 0, 0.0042219161987304688, 40.386360168457031, 134.20321206072987, 133.95919170143901, 12201.01796454274, 2842, 2856, 144.319, 8.50193, 92.8985, 9.39947, 19.1234, 0.000673056, 14.3623, 0.0324185, 
256,128,1000,2,14,0.03,12744.3,0.5,0.51,15, 180.372, 5.22854, 172.497, 0.00690508, 0.00865078, 555, 556, 28.159885883331299, 0.0032999515533447266, 0.032478094100952148, 0.0028359889984130859, 0.0028450489044189453, 0, 0.0043179988861083984, 28.114108800888062, 134.28455090007694, 134.12187021147136, 5422.6896201857116, 3397, 3412, 172.479, 10.1914, 110.945, 11.3421, 22.8582, 0.00081706, 17.1057, 0.0352883, 
256,128,1000,2,15,0.04,12991.4,0.5,0.51,16, 210.082, 5.56758, 201.699, 0.00735402, 0.00906992, 577, 578, 29.200003147125244, 0.0028848648071289062, 0.032550811767578125, 0.0027759075164794922, 0.0028469562530517578, 0, 0.0041918754577636719, 29.154752731323242, 134.32522031957819, 134.20321008152141, 3050.2559514193213, 3974, 3990, 201.679, 11.8521, 129.718, 13.2653, 26.741, 0.000951767, 20.0631, 0.0382094, 
256,128,1000,2,16,0.05,13405.1,0.5,0.51,17, 234.726, 5.9105, 225.828, 0.0079751, 0.00953078, 465, 466, 24.127935171127319, 0.0031440258026123047, 0.032495021820068359, 0.0029120445251464844, 0.0028460025787353516, 0, 0.0042779445648193359, 24.082260131835938, 134.34962197171575, 134.2520125543175, 1952.1883479642238, 4439, 4456, 225.807, 13.193, 144.863, 15.5007, 29.8704, 0.0010705, 22.3376, 0.0409551, 
256,128,1000,2,17,0.06,13800.3,0.5,0.51,18, 262.196, 6.24984, 252.79, 0.00844622, 0.00994468, 529, 530, 26.960375070571899, 0.0029888153076171875, 0.032469987869262695, 0.0028429031372070312, 0.0028450489044189453, 0, 0.0043020248413085938, 26.914926290512085, 134.36588973970873, 134.28454802404855, 1355.6952610036446, 4968, 4986, 252.767, 14.7515, 162.091, 17.3074, 33.4303, 0.00119925, 25.1418, 0.0437467, 
256,128,1000,2,18,0.07,14131.7,0.5,0.51,19, 288.88, 6.58946, 278.965, 0.00884414, 0.0103788, 517, 518, 26.173531055450439, 0.0026831626892089844, 0.032436132431030273, 0.0028469562530517578, 0.0028469562530517578, 1.1920928955078125e-06, 0.0044538974761962891, 26.128262758255005, 134.37750957413243, 134.30778745104328, 996.03032984511833, 5485, 5504, 278.94, 16.3755, 178.905, 18.9787, 36.9091, 0.00132012, 27.7246, 0.0465412, 
256,128,1000,2,19,0.08,14399.8,0.5,0.51,20, 311.491, 6.93058, 301.064, 0.00926805, 0.0107458, 433, 434, 22.098165988922119, 0.0028579235076904297, 0.032461166381835938, 0.0028469562530517578, 0.0028479099273681641, 9.5367431640625e-07, 0.0043730735778808594, 22.052778005599976, 134.38622445081501, 134.32521599051563, 762.6057537420852, 5918, 5938, 301.039, 17.6411, 193.006, 20.6479, 39.8228, 0.00145602, 29.8702, 0.0491781, 
