?spgqp_err,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-6,2,1,4.26814e+06,1,2,1, 0.700363, 0.227346, 0.255323, 0, 0, 5, 6, 0.020247936248779297, 4.8875808715820312e-05, 0.00013494491577148438, 1.4066696166992188e-05, 4.0531158447265625e-06, 0, 0.00011801719665527344, 0.019927978515625, 999.32823826196613, 999.32725814353546, 0.00098011843096921548, 5, 6, 0.0202479, 0.000603437, 0.00503612, 0.000124931, 0.000347614, 1.19209e-05, 0.00777006, 0.00635386, 
1e-6,2,2,4.26759e+06,1,2,2, 1.496, 0.535001, 0.399755, 0, 0, 5, 6, 0.0027661323547363281, 6.7949295043945312e-05, 0.00014400482177734375, 1.6927719116210938e-05, 4.0531158447265625e-06, 0, 0.00010514259338378906, 0.0024280548095703125, 999.32921678218645, 999.3272622114182, 0.0019545707681830598, 10, 12, 0.0230141, 0.00101733, 0.0059135, 0.000205755, 0.000827789, 1.19209e-05, 0.00834703, 0.00669074, 
1e-6,2,3,4.26672e+06,1,2,3, 2.25278, 0.830408, 0.541567, 0, 0, 5, 6, 0.0021831989288330078, 4.7922134399414062e-05, 0.00011897087097167969, 1.4066696166992188e-05, 4.0531158447265625e-06, 0, 5.6982040405273438e-05, 0.0019412040710449219, 999.33019263123424, 999.32726923237647, 0.002923398857907657, 15, 18, 0.0251973, 0.00136614, 0.00671244, 0.000277758, 0.00116444, 1.19209e-05, 0.00878668, 0.0068779, 
1e-6,2,4,4.26552e+06,1,2,4, 3.14127, 1.0249, 0.793205, 0, 0, 6, 7, 0.0053110122680664062, 7.4148178100585938e-05, 0.00019097328186035156, 2.2172927856445312e-05, 4.0531158447265625e-06, 0, 0.000331878662109375, 0.0046877861022949219, 999.3311657209365, 999.32727824480321, 0.0038874761333921718, 21, 25, 0.0305083, 0.0019486, 0.00832558, 0.000427008, 0.00189638, 1.38283e-05, 0.0104303, 0.00746655, 
1e-6,2,5,4.26516e+06,1,2,5, 3.91314, 1.22001, 1.06857, 0, 0, 9, 10, 0.0038540363311767578, 5.5074691772460938e-05, 0.00011897087097167969, 1.5020370483398438e-05, 4.0531158447265625e-06, 0, 8.9883804321289062e-05, 0.0035710334777832031, 999.33213645195883, 999.327288876284, 0.0048475756749198099, 30, 35, 0.0343623, 0.00251055, 0.00959396, 0.000578165, 0.00250101, 1.57356e-05, 0.0111413, 0.00802159, 
1e-6,2,6,4.26489e+06,1,2,6, 4.67261, 1.42235, 1.3222, 0, 0, 9, 10, 0.0038530826568603516, 5.0067901611328125e-05, 0.00011682510375976562, 1.3113021850585938e-05, 4.0531158447265625e-06, 0, 5.5074691772460938e-05, 0.0036139488220214844, 999.3331048050718, 999.3273014598459, 0.0058033452259169472, 39, 45, 0.0382154, 0.0031209, 0.010906, 0.000706911, 0.00308108, 1.78814e-05, 0.0118253, 0.00855732, 
1e-6,2,7,4.26424e+06,1,2,7, 5.4647, 1.61699, 1.66283, 0, 0, 7, 8, 0.02151799201965332, 5.1975250244140625e-05, 0.00019192695617675781, 1.3113021850585938e-05, 4.0531158447265625e-06, 0, 0.00099992752075195312, 0.020256996154785156, 999.3340709854117, 999.32731499218698, 0.0067559932246891909, 46, 53, 0.0597334, 0.00734687, 0.0148444, 0.00111675, 0.00585914, 1.88351e-05, 0.021225, 0.0093224, 
1e-6,2,8,4.26327e+06,1,2,8, 6.22498, 1.81071, 1.98981, 0, 0, 7, 8, 0.0027439594268798828, 5.3882598876953125e-05, 0.00011897087097167969, 1.4066696166992188e-05, 4.0531158447265625e-06, 0, 5.6982040405273438e-05, 0.0024960041046142578, 999.33503511874801, 999.32733026228925, 0.0077048564590823428, 53, 61, 0.0624774, 0.00775981, 0.0158706, 0.00121188, 0.00629735, 2.16961e-05, 0.0217249, 0.0095911, 
1e-6,2,9,4.26217e+06,1,2,9, 6.95704, 2.00932, 2.24536, 0, 0, 8, 9, 0.0058920383453369141, 5.0067901611328125e-05, 0.0001220703125, 1.2874603271484375e-05, 3.814697265625e-06, 0, 5.7220458984375e-05, 0.0056459903717041016, 999.33599721020789, 999.32734772039896, 0.0086494898091291524, 61, 70, 0.0683694, 0.00878191, 0.0177329, 0.00144529, 0.00720596, 2.16961e-05, 0.0233157, 0.009866, 
1e-6,2,10,4.26135e+06,1,2,10, 7.83956, 2.25618, 2.53061, 0, 0, 8, 9, 0.0041329860687255859, 5.4121017456054688e-05, 0.00012087821960449219, 1.5020370483398438e-05, 3.0994415283203125e-06, 0, 6.7949295043945312e-05, 0.003871917724609375, 999.33695727696363, 999.32736606930303, 0.0095912076605632838, 69, 79, 0.0725024, 0.00936007, 0.0190628, 0.00162339, 0.00782323, 2.36034e-05, 0.0241222, 0.0104871, 
1e-6,2,20,4.25935e+06,1,2,11, 8.59855, 2.45243, 2.7833, 0, 0, 10, 11, 0.0046849250793457031, 5.0067901611328125e-05, 0.00012087821960449219, 1.3113021850585938e-05, 4.0531158447265625e-06, 0, 8.392333984375e-05, 0.0044128894805908203, 999.34642909757895, 999.32774569524804, 0.018683402330805531, 79, 90, 0.0771873, 0.00999427, 0.0205791, 0.00178933, 0.00855899, 2.76566e-05, 0.025105, 0.011133, 
1e-6,2,30,4.25639e+06,1,2,12, 9.37417, 2.68211, 2.99395, 0, 0, 10, 11, 0.0059230327606201172, 5.1021575927734375e-05, 0.00013995170593261719, 1.4066696166992188e-05, 4.0531158447265625e-06, 0, 5.7935714721679688e-05, 0.0056560039520263672, 999.35565057865051, 999.32833778435588, 0.027312794294743495, 89, 101, 0.0831103, 0.0109448, 0.0221601, 0.00196743, 0.00927591, 2.95639e-05, 0.0258744, 0.0128582, 
1e-6,2,40,4.25343e+06,1,2,13, 10.1873, 2.93345, 3.29619, 0, 0, 11, 12, 0.0050969123840332031, 5.9843063354492188e-05, 0.00014090538024902344, 4.100799560546875e-05, 5.0067901611328125e-06, 0, 0.00014209747314453125, 0.0047080516815185547, 999.36463529339335, 999.32914782603461, 0.03548746735877898, 100, 113, 0.0882072, 0.0116055, 0.0238602, 0.00220847, 0.010047, 3.05176e-05, 0.0270214, 0.0134342, 
1e-6,2,50,4.25198e+06,1,2,14, 10.8691, 3.14973, 3.51683, 0, 0, 11, 12, 0.0041470527648925781, 4.9114227294921875e-05, 0.00013494491577148438, 1.3113021850585938e-05, 3.814697265625e-06, 0, 6.3180923461914062e-05, 0.0038828849792480469, 999.37340159687221, 999.33010765759673, 0.043293939275562326, 111, 125, 0.0923543, 0.0123091, 0.0254233, 0.00236654, 0.0107627, 3.24249e-05, 0.0278342, 0.0136261, 
1e-6,2,60,4.25006e+06,1,2,15, 11.6318, 3.36218, 3.74399, 0, 0, 15, 16, 0.0068569183349609375, 4.9114227294921875e-05, 0.00014591217041015625, 1.4066696166992188e-05, 4.0531158447265625e-06, 0, 9.9897384643554688e-05, 0.0065438747406005859, 999.38195314993823, 999.33127677493314, 0.050676375005151125, 126, 141, 0.0992112, 0.0133085, 0.0277812, 0.00265193, 0.0118506, 3.24249e-05, 0.0292168, 0.0143697, 
1e-6,2,70,4.2467e+06,1,2,16, 12.3507, 3.65035, 3.94812, 0, 0, 15, 16, 0.006443023681640625, 4.9829483032226562e-05, 0.00023508071899414062, 5.1975250244140625e-05, 4.0531158447265625e-06, 0, 0.00015592575073242188, 0.0059461593627929688, 999.39029477469535, 999.33262375849381, 0.057671016201476397, 141, 157, 0.105654, 0.0141716, 0.0300746, 0.00297475, 0.0128913, 3.52859e-05, 0.0304711, 0.0150356, 
1e-6,2,80,4.24325e+06,1,2,17, 13.1566, 3.87375, 4.21018, 0, 0, 16, 17, 0.0071628093719482422, 6.4849853515625e-05, 0.00011610984802246094, 1.4066696166992188e-05, 4.0531158447265625e-06, 0, 6.0796737670898438e-05, 0.0069029331207275391, 999.3984333427901, 999.33412404502576, 0.064309297764400836, 157, 174, 0.112817, 0.015264, 0.0323884, 0.00330877, 0.0141909, 4.1008e-05, 0.0319941, 0.0156298, 
1e-6,2,90,4.24001e+06,1,2,18, 13.8656, 4.07554, 4.44508, 0, 0, 15, 16, 0.0074679851531982422, 5.0067901611328125e-05, 0.00013303756713867188, 1.4066696166992188e-05, 4.0531158447265625e-06, 0, 0.00010204315185546875, 0.0071647167205810547, 999.40637112981699, 999.33583147301692, 0.070539656800190448, 172, 190, 0.120285, 0.0162203, 0.0349264, 0.00356054, 0.0159848, 4.1008e-05, 0.0333962, 0.0161557, 
