?spgqp_err,K,epssqr,abserr,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
1e-6,2,30,4.87135e+06,1,2,12, 13.4195, 0.171299, 8.87666, 0, 0, 109, 110, 1.6830849647521973, 0.0024409294128417969, 0.0037260055541992188, 0.0025050640106201172, 1.5974044799804688e-05, 0, 0.0046010017395019531, 1.6697959899902344, 986.48731344677321, 982.34751386065193, 4.1397995861213399, 381, 393, 5.99393, 0.799958, 1.48717, 0.996655, 0.936931, 0.000172615, 1.74653, 0.0265143, 
1e-6,2,40,4.85906e+06,1,2,13, 15.8545, 0.185363, 10.8659, 0, 0, 120, 121, 1.8253970146179199, 0.0018649101257324219, 0.0035631656646728516, 0.0025320053100585938, 1.6927719116210938e-05, 9.5367431640625e-07, 0.0042340755462646484, 1.8131849765777588, 987.64263029543531, 983.75439670083074, 3.8882335946047513, 501, 514, 7.81932, 1.04062, 1.93658, 1.31027, 1.22063, 0.000213385, 2.2821, 0.0289073, 
1e-6,2,50,4.84842e+06,1,2,14, 18.2858, 0.199503, 13.003, 0, 0, 127, 128, 1.9539520740509033, 0.0017850399017333984, 0.0037229061126708984, 0.0024960041046142578, 1.5974044799804688e-05, 9.5367431640625e-07, 0.0052900314331054688, 1.9406411647796631, 988.48725264942595, 984.80644201960968, 3.6808106298164152, 628, 642, 9.77327, 1.30231, 2.42126, 1.6389, 1.52946, 0.000258684, 2.84946, 0.0316315, 
1e-6,2,60,4.83877e+06,1,2,15, 21.2442, 0.21378, 15.6876, 0, 0, 163, 164, 2.4774398803710938, 0.0019178390502929688, 0.0036139488220214844, 0.0024900436401367188, 1.71661376953125e-05, 0, 0.0042338371276855469, 2.4651670455932617, 989.14265226321527, 985.63407098616358, 3.5085812770516998, 791, 806, 12.2507, 1.63025, 3.03751, 2.0579, 1.92686, 0.00033927, 3.56403, 0.0338213, 
1e-6,2,70,4.82999e+06,1,2,16, 24.18, 0.227884, 18.2642, 0, 0, 153, 154, 2.3272860050201416, 0.0020120143890380859, 0.0038311481475830078, 0.0032899379730224609, 1.6927719116210938e-05, 0, 0.0045042037963867188, 2.3136317729949951, 989.67227471054173, 986.30916218427149, 3.3631125262703705, 944, 960, 14.578, 1.93788, 3.62186, 2.45173, 2.29121, 0.000412703, 4.23866, 0.036248, 
1e-6,2,80,4.82198e+06,1,2,17, 27.6614, 0.242476, 21.4606, 0, 0, 187, 188, 2.9379160404205322, 0.0018510818481445312, 0.0036780834197998047, 0.0025010108947753906, 1.71661376953125e-05, 0, 0.0042219161987304688, 2.9256467819213867, 990.11301131788537, 986.87465223543472, 3.2383590824508159, 1131, 1148, 17.5159, 2.3221, 4.35644, 2.93979, 2.75348, 0.000500679, 5.10518, 0.0384238, 
1e-6,2,90,4.81469e+06,1,2,18, 31.0571, 0.256904, 24.4977, 0, 0, 193, 194, 2.9313960075378418, 0.0019090175628662109, 0.0037322044372558594, 0.0025269985198974609, 1.5974044799804688e-05, 0, 0.0043110847473144531, 2.918900728225708, 990.4880251793395, 987.35819713519209, 3.1298280441476143, 1324, 1342, 20.4473, 2.70683, 5.07958, 3.43474, 3.22075, 0.000587702, 5.96424, 0.0405855, 
1e-6,2,100,4.80804e+06,1,2,19, 35.5679, 0.271279, 28.5286, 0, 0, 247, 248, 3.7927379608154297, 0.0018308162689208984, 0.0035729408264160156, 0.0025360584259033203, 1.71661376953125e-05, 0, 0.0042510032653808594, 3.7805299758911133, 990.81274245115492, 987.77838529697237, 3.0343571541825636, 1571, 1590, 24.2401, 3.2022, 6.02309, 4.07142, 3.82675, 0.000700712, 7.07285, 0.0430443, 
1e-6,2,200,4.75603e+06,1,2,20, 45.4554, 0.28577, 38.0708, 0, 0, 606, 607, 9.2577710151672363, 0.0018861293792724609, 0.0037610530853271484, 0.0024669170379638672, 1.5974044799804688e-05, 0, 0.0042281150817871094, 9.2454128265380859, 992.70911209128974, 990.25706814630644, 2.4520439449832439, 2177, 2197, 33.4978, 4.43581, 8.34602, 5.62594, 5.30135, 0.000995636, 9.74205, 0.0456567, 
1e-6,2,300,4.72044e+06,1,2,21, 58.1646, 0.300257, 50.3575, 0, 0, 806, 807, 12.11594295501709, 0.0020439624786376953, 0.0037980079650878906, 0.0024731159210205078, 1.5974044799804688e-05, 0, 0.0042130947113037109, 12.10339879989624, 993.64178826975876, 991.48775199955344, 2.1540362702053271, 2983, 3004, 45.6138, 6.02188, 11.3821, 7.67835, 7.23485, 0.00137973, 13.2467, 0.0485141, 
