nproc,max_record_nmb,K,depth,epssqr,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
4,10,6,10,0.1,-200,-120,-40,40,120,200,11, 52.2089, 0.00887704, 52.14, 0, 0, 9, 10, 0.34912705421447754, 0.00029587745666503906, 0.00066304206848144531, 0.00027203559875488281, 1.4066696166992188e-05, 0, 0.0012400150299072266, 0.34664201736450195, 1.2527682158154414, 1.2523883647841987, 0.00037985103122093172, 1197, 1208, 52.1291, 0.370747, 0.814125, 0.345648, 24.6788, 0.000211239, 1.50963, 24.4099, 
4,10,6,11,0.5,-200,-120,-40,40,120,200,12, 52.8922, 0.00964212, 52.8171, 0, 0, 15, 16, 0.67578506469726562, 0.00029516220092773438, 0.00067591667175292969, 0.00027489662170410156, 1.2874603271484375e-05, 0, 0.0012030601501464844, 0.67332315444946289, 1.2534180212370121, 1.2525381379042697, 0.00087988333260859055, 1212, 1224, 52.8049, 0.375467, 0.824901, 0.349797, 25.0064, 0.000213385, 1.52947, 24.7186, 
4,10,6,12,1,-200,-120,-40,40,120,200,13, 53.041, 0.0104501, 52.9595, 0, 0, 4, 5, 0.14159703254699707, 0.0003299713134765625, 0.00065708160400390625, 0.00027489662170410156, 1.4066696166992188e-05, 0, 0.0012538433074951172, 0.13906717300415039, 1.2541951213012101, 1.2525459733255704, 0.0016491479758277321, 1216, 1229, 52.9465, 0.37695, 0.828158, 0.350961, 25.0474, 0.000215292, 1.53563, 24.8072, 
4,10,6,13,5,-200,-120,-40,40,120,200,14, 53.2026, 0.011281, 53.1151, 0, 0, 4, 5, 0.15420222282409668, 0.00030398368835449219, 0.00068497657775878906, 0.00027394294738769531, 1.4066696166992188e-05, 0, 0.0012619495391845703, 0.15166330337524414, 1.2604432739236486, 1.2525556855286031, 0.007887588396608948, 1220, 1234, 53.1007, 0.378411, 0.831431, 0.352191, 25.1328, 0.000216484, 1.54198, 24.8637, 
4,10,6,14,10,-200,-120,-40,40,120,200,15, 53.4012, 0.0120471, 53.3073, 0, 0, 5, 6, 0.19141697883605957, 0.00030398368835449219, 0.00067996978759765625, 0.00028705596923828125, 1.4066696166992188e-05, 0, 0.0012249946594238281, 0.18890690803527832, 1.2624156408502769, 1.2526139580897637, 0.0098016827613178516, 1225, 1240, 53.2921, 0.380193, 0.835442, 0.353602, 25.2147, 0.000216484, 1.54948, 24.9585, 
4,10,6,15,50,-200,-120,-40,40,120,200,16, 53.5902, 0.0128741, 53.4894, 0, 0, 5, 6, 0.18124890327453613, 0.00030207633972167969, 0.00068306922912597656, 0.00028300285339355469, 1.4066696166992188e-05, 0, 0.0012099742889404297, 0.1787567138671875, 1.2983513121740837, 1.2526221223738463, 0.045729189784923574, 1230, 1246, 53.4734, 0.381959, 0.839474, 0.355065, 25.2988, 0.000216484, 1.55688, 25.041, 
4,10,6,16,100,-200,-120,-40,40,120,200,17, 53.7228, 0.0136402, 53.6144, 0, 0, 4, 5, 0.12418198585510254, 0.00029706954956054688, 0.00065898895263671875, 0.00028204917907714844, 1.2874603271484375e-05, 9.5367431640625e-07, 0.0012412071228027344, 0.1216888427734375, 1.3390779835997535, 1.252630264252899, 0.086447719316069122, 1234, 1251, 53.5976, 0.38343, 0.842736, 0.35618, 25.378, 0.000218391, 1.56313, 25.0738, 
4,10,6,17,1000,-200,-120,-40,40,120,200,18, 53.9348, 0.0144062, 53.8199, 0, 0, 5, 6, 0.20452404022216797, 0.00033116340637207031, 0.00071883201599121094, 0.00029706954956054688, 1.4066696166992188e-05, 0, 0.0012459754943847656, 0.20191693305969238, 2.0778176544341926, 1.2526402761142896, 0.82517737886626552, 1239, 1257, 53.8021, 0.385215, 0.846838, 0.357604, 25.4723, 0.000218391, 1.5706, 25.1693, 
4,10,6,18,10000,-200,-120,-40,40,120,200,19, 54.0321, 0.0151882, 53.9105, 0, 0, 3, 4, 0.089640140533447266, 0.00030589103698730469, 0.000682830810546875, 0.00027322769165039062, 1.2874603271484375e-05, 0, 0.0012161731719970703, 0.087149143218994141, 9.3806132655331531, 1.252642849448748, 8.1279704184413628, 1242, 1261, 53.8917, 0.386368, 0.849512, 0.358437, 25.5146, 0.000218391, 1.57559, 25.207, 
4,10,6,19,100000,-200,-120,-40,40,120,200,20, 54.1255, 0.0160191, 53.9976, 0, 0, 3, 4, 0.08608698844909668, 0.00031113624572753906, 0.00065183639526367188, 0.00031805038452148438, 1.4066696166992188e-05, 0, 0.0013248920440673828, 0.083467006683349609, 81.719486666817119, 1.2526446783942446, 80.466841973312114, 1245, 1265, 53.9778, 0.387516, 0.852122, 0.359347, 25.5486, 0.000220299, 1.58062, 25.2494, 
4,10,6,20,1e+06,-200,-120,-40,40,120,200,21, 54.2105, 0.0167842, 54.0761, 0, 0, 3, 4, 0.077399969100952148, 0.00030803680419921875, 0.0006618499755859375, 0.00030183792114257812, 1.4066696166992188e-05, 9.5367431640625e-07, 0.0013051033020019531, 0.074808120727539062, 798.57797683838089, 1.2526462876591433, 797.32533024153872, 1248, 1269, 54.0552, 0.388748, 0.854791, 0.360239, 25.5906, 0.000222445, 1.58568, 25.275, 
