ngpus,K,epssqr_best,abserr_best,Theta0,Theta1,it all, t all, t gamma update, t gamma solve, t theta update, t theta solve, SPGQP it, SPGQP hessmult, SPGQP t all, SPGQP t project, SPGQP t matmult, SPGQP t dot, SPGQP t update, SPGQP t stepsize, SPGQP t fs, SPGQP t other, SPGQP fx, SPGQP fx_linear, SPGQP fx_quadratic, SPGQP_sum it, SPGQP_sum hessmult, SPGQP_sum t all, SPGQP_sum t project, SPGQP_sum t matmult, SPGQP_sum t dot, SPGQP_sum t update, SPGQP_sum t stepsize, SPGQP_sum t fs, SPGQP_sum t other, 
5,2,0.001,0.474371,1,2,1, 0.478384, 0.000360966, 0.289987, 0, 0, 110, 111, 0.18850517272949219, 0.00010085105895996094, 0.00023508071899414062, 0.00032591819763183594, 1.621246337890625e-05, 0, 0.00046896934509277344, 0.18735814094543457, 994.32108691814847, 991.28501904438872, 3.036067873759797, 110, 111, 0.188505, 0.0138803, 0.0315943, 0.037858, 0.0456314, 2.36034e-05, 0.0591347, 0.0003829, 
4,2,0.001,0.474371,1,2,1, 0.28837, 0.000470877, 0.188953, 0, 0, 110, 111, 0.13507199287414551, 0.00011301040649414062, 0.00026011466979980469, 0.00038003921508789062, 1.5020370483398438e-05, 0, 0.0002651214599609375, 0.13403868675231934, 994.32108691814847, 991.28501904438872, 3.0360678737597948, 110, 111, 0.135072, 0.0127964, 0.0306015, 0.0395231, 0.0193214, 2.52724e-05, 0.0324709, 0.000333309, 
7,2,0.001,0.474371,1,2,1, 0.549671, 0.000258923, 0.253251, 0, 0, 110, 111, 0.16610121726989746, 8.392333984375e-05, 0.0002079010009765625, 0.00031709671020507812, 1.5020370483398438e-05, 1.1920928955078125e-06, 0.00045084953308105469, 0.16502523422241211, 994.32108691814847, 991.28501904438872, 3.0360678737598183, 110, 111, 0.166101, 0.0101311, 0.0247116, 0.0353894, 0.0417562, 3.21865e-05, 0.053714, 0.000366688, 
3,2,0.001,0.474371,1,2,1, 0.382755, 0.000566959, 0.290266, 0, 0, 110, 111, 0.20764613151550293, 0.00013518333435058594, 0.0003070831298828125, 0.00035905838012695312, 1.5974044799804688e-05, 0, 0.00052905082702636719, 0.20629978179931641, 994.32108691814847, 991.28501904438872, 3.0360678737597975, 110, 111, 0.207646, 0.015414, 0.0389321, 0.0408719, 0.0469997, 4.05312e-05, 0.0649781, 0.000409842, 
8,2,0.001,0.474371,1,2,1, 0.593536, 0.000244141, 0.248533, 0, 0, 110, 111, 0.11591887474060059, 8.7976455688476562e-05, 0.00019311904907226562, 0.00032401084899902344, 1.5020370483398438e-05, 0, 0.00021290779113769531, 0.11508584022521973, 994.32108691814847, 991.28501904438872, 3.0360678737597997, 110, 111, 0.115919, 0.00932813, 0.0271688, 0.0353346, 0.0173757, 2.36034e-05, 0.0264041, 0.000283957, 
6,2,0.001,0.474371,1,2,1, 0.463459, 0.000316858, 0.277746, 0, 0, 110, 111, 0.1258699893951416, 9.1075897216796875e-05, 0.00021910667419433594, 0.00032091140747070312, 1.5020370483398438e-05, 0, 0.00023698806762695312, 0.12498688697814941, 994.32108691814847, 991.28501904438883, 3.0360678737598024, 110, 111, 0.12587, 0.0113094, 0.0291979, 0.0370531, 0.0185769, 2.3365e-05, 0.0294127, 0.000296593, 
2,2,0.001,0.474371,1,2,1, 0.319146, 0.00079298, 0.292205, 0, 0, 110, 111, 0.22788405418395996, 0.00018811225891113281, 0.0002689361572265625, 0.00040388107299804688, 1.5020370483398438e-05, 0, 0.00066399574279785156, 0.22634410858154297, 994.32108691814847, 991.28501904438872, 3.0360678737598015, 110, 111, 0.227884, 0.0214841, 0.033571, 0.0468094, 0.0517604, 2.47955e-05, 0.0737031, 0.000531197, 
1,2,0.001,0.474371,1,2,1, 0.274571, 0.00155497, 0.26842, 0, 0, 110, 111, 0.26704311370849609, 0.00026202201843261719, 0.00029802322387695312, 0.00048208236694335938, 1.5020370483398438e-05, 0, 0.00076508522033691406, 0.26522088050842285, 994.32108691814858, 991.2850190443886, 3.0360678737598019, 110, 111, 0.267043, 0.0293486, 0.0344505, 0.0559802, 0.059711, 3.48091e-05, 0.0869298, 0.000588179,
